期間,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上
1978,58.76,44.72,65.16,68.39,69.48,70.60,70.53,69.21,65.36,56.81,43.53,9.48,77.96,43.64,78.83,95.83,98.22,98.38,98.17,95.94,90.57,82.07,67.23,16.82,39.13,45.83,56.13,40.64,39.64,41.87,41.72,36.44,28.87,21.53,12.98,2.47,1.67,3.95,3.77,1.54,0.64,0.38,0.43,0.43,0.82,0.76,0.43,0.17,1.57,3.79,4.33,1.76,0.77,0.47,0.55,0.55,0.97,0.90,0.50,0.19,1.86,4.11,3.25,1.01,0.29,0.15,0.12,0.04,0.13,0.03,0.00,0.00
1979,58.73,44.13,64.98,68.36,69.26,71.77,70.42,69.66,66.01,57.46,42.51,9.26,77.95,42.80,78.39,96.03,98.14,98.91,98.19,96.88,91.19,82.01,64.97,16.74,39.23,45.47,56.44,40.35,39.26,43.55,41.72,37.69,29.70,22.87,13.19,2.00,1.27,3.12,3.36,1.02,0.42,0.23,0.24,0.32,0.48,0.47,0.41,0.00,1.15,2.72,4.07,1.09,0.49,0.30,0.32,0.41,0.58,0.57,0.45,0.00,1.53,3.50,2.73,0.87,0.23,0.07,0.04,0.05,0.00,0.01,0.09,0.00
1980,58.26,41.57,65.30,68.96,68.75,72.13,70.86,69.62,66.02,56.30,40.83,8.48,77.11,40.15,77.52,96.12,98.15,98.56,98.26,96.66,90.87,79.74,62.35,15.27,39.25,42.99,57.81,41.57,39.71,42.97,42.72,39.14,30.70,22.86,12.40,1.78,1.23,3.21,3.13,1.09,0.44,0.31,0.19,0.29,0.43,0.44,0.29,0.00,1.11,2.88,3.82,1.12,0.55,0.40,0.26,0.38,0.53,0.52,0.34,0.00,1.47,3.51,2.57,1.02,0.18,0.09,0.03,0.04,0.00,0.00,0.00,0.00
1981,57.82,39.86,65.23,68.80,68.62,72.10,70.62,68.92,65.70,56.48,40.76,8.55,76.78,38.47,76.52,96.24,98.13,98.50,98.18,96.86,90.96,80.00,62.21,15.24,38.76,41.25,58.34,41.20,39.56,42.72,42.34,38.86,31.09,22.73,12.19,1.86,1.36,3.75,3.50,1.12,0.50,0.40,0.35,0.34,0.44,0.38,0.17,0.04,1.21,3.28,4.24,1.21,0.57,0.55,0.46,0.44,0.52,0.44,0.20,0.05,1.65,4.19,2.91,0.90,0.33,0.03,0.09,0.07,0.13,0.08,0.00,0.00
1982,57.93,38.29,65.31,69.34,70.03,71.92,71.37,68.90,65.22,56.99,40.35,8.48,76.47,37.21,75.90,95.71,98.09,98.20,98.31,96.31,90.49,79.89,60.76,14.88,39.30,39.38,58.82,42.89,41.08,44.55,43.61,39.91,31.70,23.75,12.85,2.01,2.14,5.18,5.45,2.02,0.98,0.88,0.64,0.56,0.88,0.71,0.59,0.00,2.08,4.97,6.89,2.25,1.17,1.11,0.88,0.75,1.08,0.83,0.66,0.00,2.25,5.39,4.30,1.51,0.50,0.36,0.08,0.09,0.09,0.12,0.15,0.00
1983,59.26,37.66,66.63,70.93,72.79,74.07,73.34,69.86,65.68,58.31,41.29,9.11,76.36,36.17,75.90,95.32,97.99,98.18,98.03,95.94,89.81,79.82,60.18,15.35,42.12,39.16,60.92,46.45,46.92,49.06,48.03,42.90,35.07,26.84,15.61,2.70,2.71,6.60,6.49,2.65,1.44,1.18,0.90,0.99,1.26,1.22,0.57,0.00,2.68,6.11,7.91,3.01,1.74,1.58,1.18,1.29,1.59,1.44,0.68,0.00,2.76,7.06,5.40,1.91,0.80,0.35,0.32,0.29,0.19,0.23,0.00,0.00
1984,59.72,35.74,67.55,72.25,73.64,75.03,74.99,70.94,66.32,58.82,41.33,9.07,76.11,34.67,75.30,95.44,98.11,98.08,97.99,96.14,90.39,79.80,59.53,15.05,43.30,36.82,62.74,48.99,48.59,51.18,51.35,45.18,37.37,28.28,16.48,2.80,2.45,5.85,6.24,2.65,1.30,1.00,0.71,0.72,0.98,1.02,0.69,0.12,2.44,5.70,7.84,2.85,1.53,1.29,0.93,0.99,1.27,1.24,0.80,0.14,2.46,6.00,5.04,2.26,0.81,0.43,0.29,0.14,0.13,0.16,0.15,0.00
1985,59.49,33.93,66.90,72.66,73.85,75.54,75.18,71.12,65.98,58.09,41.07,9.74,75.47,32.52,74.13,94.87,97.93,98.06,97.73,95.86,90.19,79.00,58.36,15.72,43.46,35.36,62.37,50.44,49.19,52.15,51.80,45.98,38.44,28.07,17.01,3.36,2.91,7.53,7.12,3.05,1.76,1.21,1.13,0.91,1.25,1.20,0.79,0.20,2.90,6.94,8.85,3.33,2.09,1.58,1.51,1.26,1.63,1.43,0.92,0.24,2.92,8.08,5.83,2.53,1.08,0.49,0.39,0.19,0.26,0.27,0.17,0.00
1986,60.37,33.53,68.27,74.19,75.30,77.33,76.44,72.51,65.96,57.98,40.17,10.53,75.15,31.92,73.51,94.45,97.82,97.96,97.68,95.96,90.12,78.12,56.14,16.66,45.51,35.16,64.93,53.88,52.22,55.98,54.38,48.68,39.69,30.04,17.59,3.89,2.66,6.76,6.79,2.95,1.50,1.22,1.05,1.01,0.95,0.82,0.89,0.24,2.75,6.92,8.62,3.28,1.75,1.56,1.49,1.44,1.27,1.02,1.05,0.25,2.53,6.61,5.46,2.37,1.02,0.60,0.24,0.17,0.15,0.10,0.16,0.15
1987,60.93,32.09,69.21,75.36,76.58,78.09,77.07,73.05,66.12,58.50,41.82,10.59,75.24,31.11,72.86,94.41,97.66,98.16,97.66,96.29,90.41,79.11,57.66,16.70,46.54,33.08,66.84,56.30,55.01,57.35,55.71,49.39,40.54,30.94,19.32,3.88,1.97,5.57,5.39,2.13,1.04,0.84,0.62,0.65,0.66,0.62,0.44,0.12,1.96,5.20,6.93,2.35,1.16,1.11,0.85,0.86,0.88,0.77,0.54,0.15,1.97,5.91,4.31,1.77,0.83,0.36,0.22,0.22,0.14,0.08,0.00,0.00
