期間,信用違約交換_原始值,信用違約交換_年增率(%),信用違約交換_原始值,信用違約交換_年增率(%),買入信用違約選擇權_原始值,買入信用違約選擇權_年增率(%),買入信用違約選擇權_原始值,買入信用違約選擇權_年增率(%),賣出信用違約選擇權_原始值,賣出信用違約選擇權_年增率(%),賣出信用違約選擇權_原始值,賣出信用違約選擇權_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2004M01,0,...,450,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,450,...
2004M02,0,...,799,...,0,...,67,...,0,...,0,...,0,...,0,...,0,...,866,...
2004M03,0,...,"1,571",...,0,...,116,...,0,...,0,...,0,...,0,...,0,...,"1,687",...
2004M04,"1,116",...,328,...,0,...,33,...,0,...,0,...,0,...,0,...,"1,116",...,361,...
2004M05,"2,026",...,532,...,0,...,100,...,0,...,0,...,0,...,0,...,"2,026",...,632,...
2004M06,730,...,464,...,"1,100",...,0,...,0,...,0,...,0,...,0,...,"1,830",...,464,...
2004M07,6,...,0,...,"3,200",...,0,...,0,...,0,...,0,...,0,...,"3,206",...,0,...
2004M08,400,...,477,...,"5,700",...,0,...,0,...,0,...,0,...,0,...,"6,100",...,477,...
2004M09,"5,400",...,543,...,0,...,0,...,0,...,0,...,150,...,0,...,"5,550",...,543,...
2004M10,0,...,67,...,0,...,0,...,0,...,0,...,530,...,167,...,530,...,234,...
2004M11,600,...,419,...,0,...,0,...,0,...,0,...,0,...,0,...,600,...,419,...
2004M12,60,...,319,...,0,...,0,...,0,...,0,...,0,...,0,...,60,...,319,...
2005M01,450,--,94,-79.11,0,--,0,--,0,--,0,--,0,--,0,--,195,--,94,-79.11
2005M02,195,--,94,-88.24,0,--,0,-100.00,0,--,0,--,0,--,0,--,195,--,94,-89.15
2005M03,200,--,127,-91.92,0,--,0,-100.00,0,--,0,--,0,--,0,--,200,--,127,-92.47
2005M04,0,-100.00,386,17.68,0,--,0,-100.00,0,--,0,--,0,--,0,--,0,-100.00,386,6.93
2005M05,780,-61.50,628,18.05,0,--,0,-100.00,0,--,0,--,0,--,0,--,780,-61.50,628,-0.63
2005M06,260,-64.38,"6,087","1,211.85",0,-100.00,0,--,0,--,0,--,0,--,0,--,260,-85.79,"6,087","1,211.85"
2005M07,670,"11,066.67","3,587",--,0,-100.00,0,--,0,--,0,--,0,--,0,--,670,-79.10,"3,587",--
2005M08,270,-32.50,"3,176",565.83,0,-100.00,0,--,0,--,0,--,0,--,0,--,270,-95.57,"3,176",565.83
2005M09,423,-92.17,331,-39.04,0,--,0,--,0,--,0,--,0,-100.00,0,--,423,-92.38,331,-39.04
2005M10,"1,295",--,"1,360","1,929.85",0,--,0,--,0,--,0,--,0,-100.00,0,-100.00,"1,295",144.34,"1,360",481.20
2005M11,"7,664","1,177.33",503,20.05,0,--,0,--,0,--,0,--,0,--,0,--,"7,664","1,177.33",503,20.05
2005M12,425,608.33,201,-36.99,0,--,0,--,0,--,0,--,0,--,0,--,425,608.33,201,-36.99
2006M01,"1,517",237.11,240,155.32,0,--,0,--,0,--,0,--,0,--,0,--,"1,517",677.95,240,155.32
2006M02,643,229.74,747,694.68,0,--,0,--,0,--,0,--,0,--,0,--,643,229.74,747,694.68
2006M03,990,395.00,"7,308","5,654.33",0,--,0,--,0,--,0,--,0,--,0,--,990,395.00,"7,308","5,654.33"
2006M04,"7,291",--,"7,451","1,830.31",0,--,0,--,0,--,0,--,0,--,0,--,"7,291",--,"7,451","1,830.31"
2006M05,"4,130",429.49,"3,658",482.48,0,--,0,--,0,--,0,--,0,--,0,--,"4,130",429.49,"3,658",482.48
2006M06,835,221.15,"1,518",-75.06,0,--,0,--,0,--,0,--,0,--,0,--,835,221.15,"1,518",-75.06
2006M07,785,17.16,"1,622",-54.78,0,--,0,--,0,--,0,--,0,--,0,--,785,17.16,"1,622",-54.78
2006M08,"1,036",283.70,"1,209",-61.93,0,--,0,--,0,--,0,--,0,--,0,--,"1,036",283.70,"1,209",-61.93
2006M09,"6,010","1,320.80","1,537",364.35,0,--,0,--,0,--,0,--,0,--,0,--,"6,010","1,320.80","1,537",364.35
2006M10,382,-70.50,664,-51.18,0,--,0,--,0,--,0,--,0,--,0,--,382,-70.50,664,-51.18
2006M11,"4,955",-35.35,"2,954",487.28,0,--,0,--,0,--,0,--,0,--,486,--,"4,955",-35.35,"3,440",583.90
2006M12,"2,514",491.53,"1,611",701.49,0,--,0,--,0,--,33,--,0,--,0,--,"2,514",491.53,"1,644",717.91
2007M01,595,-60.78,"2,440",916.67,0,--,0,--,0,--,0,--,0,--,0,--,595,-60.78,"2,440",916.67
2007M02,"24,180","3,660.50","3,230",332.40,0,--,0,--,0,--,0,--,0,--,657,--,"24,180","3,660.50","3,887",420.35
2007M03,243,-75.45,"6,419",-12.16,0,--,0,--,0,--,0,--,0,--,0,--,243,-75.45,"6,419",-12.16
2007M04,"3,280",-55.01,"12,178",63.44,0,--,0,--,0,--,0,--,0,--,0,--,"3,280",-55.01,"12,178",63.44
2007M05,460,-88.86,"3,100",-15.25,0,--,0,--,0,--,0,--,0,--,0,--,460,-88.86,"3,100",-15.25
2007M06,"2,841",240.24,"11,407",651.45,0,--,0,--,0,--,0,--,0,--,0,--,"2,841",240.24,"11,407",651.45
2007M07,190,-75.80,"35,917","2,114.36",0,--,0,--,0,--,0,--,0,--,0,--,190,-75.80,"35,917","2,114.36"
2007M08,781,-24.61,"30,440","2,417.78",0,--,0,--,0,--,0,--,0,--,0,--,781,-24.61,"30,440","2,417.78"
2007M09,55,-99.08,"23,509","1,429.54",0,--,0,--,0,--,0,--,0,--,0,--,55,-99.08,"23,509","1,429.54"
2007M10,190,-50.26,"8,590","1,193.67",0,--,0,--,0,--,0,--,0,--,"1,401",--,190,-50.26,"9,991","1,404.67"
2007M11,30,-99.39,"23,223",686.15,0,--,0,--,0,--,0,--,0,--,0,-100.00,30,-99.39,"23,223",575.09
2007M12,10,-99.60,"9,086",464.00,0,--,0,--,0,--,0,-100.00,0,--,0,--,10,-99.60,"9,086",452.68
2008M01,675,13.45,"6,598",170.41,0,--,0,--,0,--,0,--,0,--,0,--,675,13.45,"6,598",170.41
2008M02,"1,760",-92.72,"5,287",63.68,0,--,0,--,0,--,0,--,0,--,0,-100.00,"1,760",-92.72,"5,287",36.02
2008M03,387,59.26,"3,813",-40.60,0,--,0,--,0,--,0,--,0,--,0,--,387,59.26,"3,813",-40.60
2008M04,150,-95.43,"11,611",-4.66,0,--,0,--,0,--,0,--,0,--,304,--,150,-95.43,"11,915",-2.16
2008M05,550,19.57,"20,127",549.26,0,--,0,--,0,--,0,--,0,--,0,--,550,19.57,"20,127",549.26
2008M06,0,-100.00,"25,549",123.98,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"25,549",123.98
2008M07,320,68.42,"5,179",-85.58,0,--,0,--,0,--,0,--,0,--,0,--,320,68.42,"5,179",-85.58
2008M08,100,-87.20,"10,143",-66.68,0,--,0,--,0,--,0,--,0,--,0,--,100,-87.20,"10,143",-66.68
2008M09,0,-100.00,"8,067",-65.69,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"8,067",-65.69
2008M10,0,-100.00,"7,706",-10.29,0,--,0,--,0,--,0,--,0,--,0,-100.00,0,-100.00,"7,706",-22.87
2008M11,0,-100.00,"2,993",-87.11,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"2,993",-87.11
2008M12,13,30.00,"3,696",-59.32,0,--,0,--,0,--,0,--,0,--,0,--,13,30.00,"3,696",-59.32
2009M01,0,-100.00,"6,433",-2.50,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"6,433",-2.50
2009M02,100,-94.32,"3,769",-28.71,0,--,0,--,0,--,0,--,0,--,0,--,100,-94.32,"3,769",-28.71
2009M03,800,106.72,"9,431",147.34,0,--,0,--,0,--,0,--,0,--,0,--,800,106.72,"9,431",147.34
2009M04,960,540.00,"3,668",-68.41,0,--,0,--,0,--,0,--,0,--,0,-100.00,960,540.00,"3,668",-69.22
2009M05,55,-90.00,"4,703",-76.63,0,--,0,--,0,--,0,--,0,--,0,--,55,-90.00,"4,703",-76.63
2009M06,75,--,"3,748",-85.33,0,--,0,--,0,--,0,--,0,--,0,--,75,--,"3,748",-85.33
2009M07,445,39.06,"13,274",156.30,0,--,0,--,0,--,0,--,0,--,0,--,445,39.06,"13,274",156.30
2009M08,243,143.00,"10,326",1.80,0,--,0,--,0,--,0,--,0,--,0,--,243,143.00,"10,326",1.80
2009M09,57,--,"13,457",66.82,0,--,0,--,0,--,0,--,0,--,0,--,57,--,"13,457",66.82
2009M10,470,--,"22,807",195.96,0,--,0,--,0,--,0,--,0,--,0,--,470,--,"22,807",195.96
2009M11,166,--,"12,000",300.94,0,--,0,--,0,--,0,--,0,--,0,--,166,--,"12,000",300.94
2009M12,100,669.23,"10,029",171.35,0,--,0,--,0,--,0,--,0,--,0,--,100,669.23,"10,029",171.35
2010M01,340,--,"40,529",530.02,0,--,0,--,0,--,0,--,0,--,0,--,340,--,"40,529",530.02
2010M02,10,-90.00,"56,721","1,404.93",0,--,0,--,0,--,0,--,0,--,0,--,10,-90.00,"56,721","1,404.93"
2010M03,0,-100.00,"18,931",100.73,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"18,931",100.73
2010M04,100,-89.58,"37,229",914.97,0,--,0,--,0,--,0,--,0,--,0,--,100,-89.58,"37,229",914.97
2010M05,30,-45.45,"53,838","1,044.76",0,--,0,--,0,--,0,--,0,--,0,--,30,-45.45,"53,838","1,044.76"
2010M06,100,33.33,"20,387",443.94,0,--,0,--,0,--,0,--,0,--,0,--,100,33.33,"20,387",443.94
2010M07,0,-100.00,"13,910",4.79,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"13,910",4.79
2010M08,10,-95.88,"20,742",100.87,0,--,0,--,0,--,0,--,0,--,0,--,10,-95.88,"20,742",100.87
2010M09,0,-100.00,"23,636",75.64,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"23,636",75.64
2010M10,100,-78.72,"19,414",-14.88,0,--,0,--,0,--,0,--,0,--,0,--,100,-78.72,"19,414",-14.88
2010M11,0,-100.00,"13,753",14.61,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"13,753",14.61
2010M12,0,-100.00,"2,989",-70.20,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"2,989",-70.20
2011M01,0,-100.00,"18,170",-55.17,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"18,170",-55.17
2011M02,0,-100.00,"5,621",-90.09,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"5,621",-90.09
