期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2000M11,"28,499",...,1.28,-,"15,064",...,"13,435",...,"10,130",...,0.46,-,"6,312",...,"3,818",...,"18,369",-,0.83,-,573,-,0.03,-,"18,942",-,0.85,-,"27,611",...,"14,600",...,"13,011",...,361,...,187,...,174,...,521,...,273,...,248,...,6,...,4,...,2,...,17,...,9,...,8,...,573,...,302,...,271,...,45,...,18,...,27,...
2000M12,"27,874",...,1.25,-,"14,378",...,"13,496",...,"10,205",...,0.46,-,"6,376",...,"3,829",...,"17,669",-,0.79,-,"2,215",-,0.10,-,"19,884",-,0.89,-,"26,961",...,"13,895",...,"13,066",...,372,...,191,...,181,...,534,...,287,...,247,...,7,...,5,...,2,...,11,...,2,...,9,...,694,...,342,...,352,...,18,...,8,...,10,...
2001M01,"23,705",-1.40,1.06,-,"12,322",-2.31,"11,383",-0.39,"10,753",-6.32,0.48,-,"6,694",-4.63,"4,059",-8.97,"12,952",-,0.58,-,601,-,0.03,-,"13,553",-,0.61,-,"22,952",-1.58,"11,941",-2.47,"11,011",-0.60,281,-3.10,139,-9.15,142,3.65,468,8.84,240,11.11,228,6.54,4,100.00,2,0.00,2,--,5,-44.44,2,-50.00,3,-40.00,545,-5.22,287,-6.51,258,-3.73,33,-2.94,20,17.65,13,-23.53
2001M02,"21,610",-2.93,0.97,-,"11,365",-2.66,"10,245",-3.23,"11,219",5.48,0.50,-,"6,980",6.11,"4,239",4.46,"10,391",-,0.47,-,"-1,685",-,-0.08,-,"8,706",-,0.39,-,"20,822",-3.36,"10,961",-3.05,"9,861",-3.69,311,11.47,165,25.00,146,-0.68,472,8.26,236,0.00,236,18.00,5,66.67,3,50.00,2,100.00,7,-22.22,4,0.00,3,-40.00,515,-3.38,254,-15.89,261,12.99,18,-50.00,8,-57.89,10,-41.18
2001M03,"22,407",-14.67,1.00,-,"11,715",-15.40,"10,692",-13.85,"11,764",-6.05,0.53,-,"7,269",-5.59,"4,495",-6.78,"10,643",-,0.48,-,"-1,077",-,-0.05,-,"9,566",-,0.43,-,"21,559",-15.15,"11,260",-16.03,"10,299",-14.16,339,0.59,172,-6.01,167,8.44,505,-0.98,281,11.51,224,-13.18,4,-20.00,2,-50.00,2,100.00,9,28.57,5,66.67,4,0.00,537,-17.38,290,-14.71,247,-20.32,28,-17.65,15,-21.05,13,-13.33
2001M04,"20,922",-7.37,0.94,-,"10,948",-7.60,"9,974",-7.12,"10,727",2.91,0.48,-,"6,661",4.06,"4,066",1.07,"10,195",-,0.46,-,-458,-,-0.02,-,"9,737",-,0.44,-,"20,130",-7.94,"10,523",-8.53,"9,607",-7.30,306,-2.24,151,-0.66,155,-3.73,480,18.81,272,43.16,208,-2.80,6,100.00,2,0.00,4,300.00,6,-45.45,3,-62.50,3,0.00,497,-11.25,256,-14.67,241,-7.31,18,-45.45,12,-14.29,6,-68.42
2001M05,"21,584",-13.73,0.97,-,"11,224",-14.89,"10,360",-12.44,"10,882",-1.56,0.49,-,"6,795",-1.26,"4,087",-2.04,"10,702",-,0.48,-,-165,-,-0.01,-,"10,537",-,0.47,-,"20,780",-14.28,"10,853",-15.22,"9,927",-13.23,335,13.95,166,7.79,169,20.71,466,-2.10,205,-10.48,261,5.67,3,-50.00,0,-100.00,3,-25.00,10,-16.67,5,-16.67,5,-16.67,572,-8.77,322,-1.23,250,-16.94,12,-71.43,6,-71.43,6,-71.43
2001M06,"19,935",-13.09,0.89,-,"10,403",-13.93,"9,532",-12.15,"9,727",-3.12,0.44,-,"5,991",-3.62,"3,736",-2.30,"10,208",-,0.46,-,557,-,0.02,-,"10,765",-,0.48,-,"19,218",-13.25,"10,016",-14.31,"9,202",-12.08,299,-2.92,159,-5.36,140,0.00,416,-12.05,227,-0.87,189,-22.54,2,0.00,1,-50.00,1,--,5,-54.55,2,-77.78,3,50.00,511,-2.29,251,-10.04,260,6.56,20,-47.37,6,-71.43,14,-17.65
2001M07,"20,728",-15.17,0.93,-,"10,766",-15.50,"9,962",-14.82,"10,274",2.42,0.46,-,"6,418",2.84,"3,856",1.74,"10,454",-,0.47,-,373,-,0.02,-,"10,827",-,0.48,-,"19,941",-15.62,"10,356",-16.08,"9,585",-15.10,320,5.61,165,7.84,155,3.33,457,-7.68,239,-2.05,218,-13.15,10,42.86,6,100.00,4,0.00,7,-12.50,4,33.33,3,-40.00,514,-8.21,271,-8.45,243,-7.95,15,-57.14,7,-56.25,8,-57.89
2001M08,"22,402",-13.07,1.00,-,"11,584",-13.26,"10,818",-12.87,"10,720",10.19,0.48,-,"6,651",9.46,"4,069",11.39,"11,682",-,0.52,-,-747,-,-0.03,-,"10,935",-,0.49,-,"21,555",-13.25,"11,151",-13.47,"10,404",-13.01,375,1.35,196,14.62,179,-10.05,466,-14.81,231,-21.16,235,-7.48,6,-14.29,6,50.00,0,-100.00,4,-76.47,1,-85.71,3,-70.00,590,-7.96,287,-8.01,303,-7.90,12,-72.73,8,-65.22,4,-80.95
