期間,合計--美金(百萬美元)_原始值,合計--美金(百萬美元)_年增率(%),合計--歐元(百萬歐元)_原始值,合計--歐元(百萬歐元)_年增率(%),合計--日圓(億日圓)_原始值,合計--日圓(億日圓)_年增率(%),合計--其他(百萬美元)_原始值,合計--其他(百萬美元)_年增率(%),隔夜--美金(百萬美元)_原始值,隔夜--美金(百萬美元)_年增率(%),隔夜--歐元(百萬歐元)_原始值,隔夜--歐元(百萬歐元)_年增率(%),隔夜--日圓(億日圓)_原始值,隔夜--日圓(億日圓)_年增率(%),隔夜--其他(百萬美元)_原始值,隔夜--其他(百萬美元)_年增率(%),1~3週--美金(百萬美元)_原始值,1~3週--美金(百萬美元)_年增率(%),1~3週--歐元(百萬歐元)_原始值,1~3週--歐元(百萬歐元)_年增率(%),1~3週--日圓(億日圓)_原始值,1~3週--日圓(億日圓)_年增率(%),1~3週--其他(百萬美元)_原始值,1~3週--其他(百萬美元)_年增率(%),1~12個月--美金(百萬美元)_原始值,1~12個月--美金(百萬美元)_年增率(%),1~12個月--歐元(百萬歐元)_原始值,1~12個月--歐元(百萬歐元)_年增率(%),1~12個月--日圓(億日圓)_原始值,1~12個月--日圓(億日圓)_年增率(%),1~12個月--其他(百萬美元)_原始值,1~12個月--其他(百萬美元)_年增率(%),隔夜利率(%)--最高--美金_原始值,隔夜利率(%)--最高--美金_年增率(%),隔夜利率(%)--最高--歐元_原始值,隔夜利率(%)--最高--歐元_年增率(%),隔夜利率(%)--最高--日圓_原始值,隔夜利率(%)--最高--日圓_年增率(%),隔夜利率(%)--最低--美金_原始值,隔夜利率(%)--最低--美金_年增率(%),隔夜利率(%)--最低--歐元_原始值,隔夜利率(%)--最低--歐元_年增率(%),隔夜利率(%)--最低--日圓_原始值,隔夜利率(%)--最低--日圓_年增率(%)
1999,"840,718",...,51,...,"3,326",...,131,...,"781,917",...,19,...,"1,643",...,128,...,"31,832",...,12,...,105,...,2,...,"26,969",...,20,...,"1,578",...,1,...,7.30,...,3.40,...,0.90,...,2.50,...,2.03,...,0.01,...
2000,"793,718",-5.59,352,590.20,"2,841",-14.58,148,12.98,"744,523",-4.78,256,"1,247.37","2,115",28.73,147,14.84,"20,677",-35.04,29,141.67,66,-37.14,...,...,"28,518",5.74,67,235.00,660,-58.17,1,0.00,7.25,...,4.66,...,1.75,...,5.31,...,4.19,...,0.03,...
2001,"856,965",7.97,676,92.05,"1,950",-31.36,18,-87.84,"819,818",10.11,448,75.00,"1,691",-20.05,18,-87.76,"6,401",-69.04,5,-82.76,55,-16.67,...,...,"30,746",7.81,223,232.84,204,-69.09,...,...,8.25,...,5.53,...,2.00,...,1.40,...,3.75,...,0.01,...
2002,"1,045,092",21.95,269,-60.21,"1,169",-40.05,53,194.44,"985,967",20.27,63,-85.94,"1,052",-37.79,53,194.44,"9,776",52.73,13,160.00,...,...,...,...,"49,348",60.50,193,-13.45,117,-42.65,...,...,2.14,...,3.37,...,0.10,...,1.17,...,3.30,...,0.01,...
2003,"1,557,213",49.00,712,164.68,278,-76.22,16,-69.81,"1,494,329",51.56,55,-12.70,173,-83.56,...,...,"14,382",47.12,79,507.69,45,...,...,...,"48,499",-1.72,577,198.96,60,-48.72,15,...,1.75,...,2.85,...,0.03,...,0.65,...,2.58,...,0.03,...
2004,"1,488,901",-4.39,"1,433",101.26,12,-95.68,...,...,"1,413,806",-5.39,8,-85.45,...,...,...,...,"14,699",2.20,78,-1.27,...,...,...,...,"60,392",24.52,"1,346",133.28,12,-80.00,...,...,2.44,...,2.07,...,...,...,0.93,...,2.07,...,...,...
2005,"936,411",-37.11,504,-64.83,176,"1,366.67",6,...,"893,550",-36.80,5,-37.50,54,...,-,-,"6,106",-58.46,11,-85.90,-,-,6,...,"36,749",-39.15,488,-63.74,121,908.33,-,-,4.40,...,2.10,...,2.50,...,2.02,...,2.10,...,0.04,...
2006,"1,238,782",32.29,529,4.96,"1,667",847.16,156,"2,500.00","1,191,416",33.34,55,"1,000.00",-,-,-,-,"14,697",140.70,37,236.36,75,-,-,-,"32,666",-11.11,435,-10.86,"1,590","1,214.05",151,-,5.44,...,3.75,...,-,...,4.09,...,3.72,...,-,...
2007,"1,601,151",29.25,"1,013",91.49,"2,596",55.73,296,89.74,"1,552,833",30.34,9,-83.64,1,-,-,-,"5,658",-61.50,32,-13.51,54,-28.00,-,-,"42,640",30.53,971,123.22,"2,521",58.55,278,84.11,6.60,...,4.58,...,0.90,...,4.00,...,3.63,...,0.90,...
2008,"1,969,595",23.01,"2,887",185.00,"8,887",242.33,873,194.93,"1,898,914",22.29,8,-11.11,-,-,-,-,"13,023",130.17,75,134.38,95,75.93,-,-,"57,647",35.19,"2,785",186.82,"8,761",247.52,837,201.08,11.00,...,4.77,...,-,...,0.01,...,4.40,...,-,...
2009,"1,459,183",-25.91,"1,458",-49.50,"9,586",7.87,"1,575",80.41,"1,388,944",-26.86,15,87.50,172,-,-,-,"13,968",7.26,42,-44.00,168,76.84,-,-,"56,267",-2.39,"1,399",-49.77,"9,237",5.43,"1,561",86.50,1.00,...,0.42,...,0.37,...,0.01,...,0.42,...,0.10,...
2010,"1,654,307",13.37,917,-37.11,"9,540",-0.48,"2,842",80.44,"1,587,523",14.30,8,-46.67,1,-99.42,-,-,"13,327",-4.59,90,114.29,158,-5.95,-,-,"53,457",-4.99,819,-41.46,"9,381",1.56,"2,842",82.06,0.75,...,0.37,...,0.20,...,0.07,...,0.37,...,0.20,...
2011,"1,834,419",10.89,"4,350",374.37,"9,503",-0.39,"3,824",34.55,"1,727,530",8.82,"3,323","41,437.50",93,"9,200.00",-,-,"25,840",93.89,55,-38.89,67,-57.59,-,-,"81,049",51.62,972,18.68,"9,343",-0.41,"3,824",34.55,0.65,...,1.75,...,0.55,...,0.04,...,0.23,...,0.26,...
2012,"1,792,945",-2.26,310,-92.87,"8,716",-8.28,"3,017",-21.10,"1,647,397",-4.64,88,-97.35,4,-95.70,-,-,"36,935",42.94,-,-,10,-85.07,-,-,"108,613",34.01,222,-77.16,"8,702",-6.86,"3,017",-21.10,0.85,...,0.25,...,0.08,...,0.03,...,0.10,...,0.08,...
2013,"1,334,006",-25.60,619,99.68,"13,116",50.48,"15,303",407.23,"1,189,401",-27.80,4,-95.45,"1,638","40,850.00",-,-,"25,767",-30.24,-,-,822,"8,120.00",-,-,"118,838",9.41,615,177.03,"10,655",22.44,"15,303",407.23,3.20,...,0.18,...,0.28,...,0.08,...,0.18,...,0.07,...
