期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
2001M01,"1,875,485",...,"257,359","433,918","96,837",...,"25,805","98,003",...,"460,365",...,"503,198"
2001M02,"1,574,265",...,"143,059","373,723","157,127",...,"94,586","133,093",...,"350,666",...,"322,011"
2001M03,"2,029,016",...,"173,123","502,344","86,061",...,"106,112","134,647",...,"501,459",...,"525,270"
2001M04,"2,079,006",...,"132,214","690,570","102,530",...,"11,632","90,608",...,"444,801",...,"606,651"
2001M05,"1,919,396",...,"263,569","489,751","97,768",...,"7,670","117,723",...,"602,209",...,"340,706"
2001M06,"1,630,726",...,"217,345","192,635","85,664",...,"6,034","192,883",...,"496,446",...,"439,719"
2001M07,"1,698,015",...,"152,635","264,641","123,012",...,"44,810","148,110",...,"392,592",...,"572,215"
2001M08,"1,649,967",...,"147,757","299,626","110,938",...,"20,398","111,657",...,"422,493",...,"537,098"
2001M09,"1,189,079",...,"67,881","117,190","135,306",...,0,"127,438",...,"417,530",...,"323,734"
2001M10,"1,841,957",...,"141,496","198,243","356,920",...,"15,689","90,934",...,"631,941",...,"406,734"
2001M11,"2,014,082",...,"335,695","221,342","212,390",...,"10,377","100,906",...,"354,929",...,"778,443"
2001M12,"2,128,539",...,"415,836","210,156","163,536",...,"8,916","183,120",...,"428,748",...,"718,227"
2002M01,"2,157,832",...,"135,656","281,224","244,530",...,"4,544","294,309",...,"474,863",...,"722,706"
2002M02,"1,129,542",...,"77,121","274,698","63,238",...,0,"61,960",...,"362,403",...,"290,122"
2002M03,"1,459,553",...,"138,791","321,642","134,293",...,"28,651","125,607",...,"474,177",...,"236,392"
2002M04,"1,803,689",...,"187,778","357,107","53,914",...,"14,761","153,788",...,"546,138",...,"490,203"
2002M05,"1,992,660",...,"207,953","242,359","63,856",...,"82,215","181,516",...,"853,402",...,"361,359"
2002M06,"2,322,855",...,"181,331","304,829","373,650",...,"69,097","65,774",...,"554,140",...,"774,034"
2002M07,"2,183,381",...,"264,927","432,684","99,681",...,"58,599","170,090",...,"813,491",...,"343,909"
2002M08,"1,649,698",...,"233,619","237,166","158,980",...,"1,702","87,702",...,"594,989",...,"335,540"
2002M09,"1,687,870",...,"199,708","161,895","150,856",...,620,"77,849",...,"829,120",...,"267,822"
2002M10,"2,402,141",...,"309,994","280,620","137,045",...,"17,625","473,854",...,"780,356",...,"402,647"
2002M11,"2,218,477",...,"226,810","328,522","380,462",...,"213,256","170,605",...,"641,018",...,"257,804"
