期間,北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%)
2000M01,"94,470",6.69,"3,050,371",10.79,"64,877",17.96,"2,088,070",22.48,"4,938",16.41,"159,441",20.87,"3,258",-9.20,"104,848",-5.73,"89,532",6.21,"2,890,916",10.29,"61,619",19.86,"1,983,222",24.45
2000M02,"74,060",5.62,"2,412,366",10.92,"53,050",35.20,"1,722,420",41.96,"4,050",-6.70,"131,922",-2.03,"2,885",43.82,"93,680",51.00,"70,010",6.44,"2,280,444",11.77,"50,164",34.73,"1,628,702",41.46
2000M03,"92,752",-1.66,"3,022,226",5.93,"62,227",6.58,"2,021,051",14.78,"4,997",-5.98,"162,829",1.28,"3,268",8.36,"106,153",16.72,"87,754",-1.40,"2,859,366",6.22,"58,959",6.48,"1,914,884",14.68
2000M04,"90,276",10.99,"2,961,807",20.06,"66,469",24.52,"2,173,620",34.66,"4,696",17.22,"154,082",26.80,"3,594",21.26,"117,526",31.15,"85,577",10.67,"2,807,640",19.71,"62,871",24.70,"2,055,961",34.86
2000M05,"101,292",10.39,"3,308,011",17.86,"73,782",23.98,"2,401,752",32.33,"5,049",4.88,"164,879",11.96,"4,361",38.93,"141,956",48.31,"96,239",10.70,"3,142,998",18.18,"69,421",23.15,"2,259,796",31.44
2000M06,"94,821",3.48,"3,081,598",9.50,"63,920",19.23,"2,070,612",26.15,"4,562",-7.18,"148,250",-1.79,"2,786",-20.35,"90,253",-15.75,"90,257",4.08,"2,933,286",10.14,"61,134",22.00,"1,980,359",29.08
2000M07,"106,088",17.02,"3,447,785",22.64,"89,244",38.52,"2,890,962",45.16,"5,259",12.52,"170,904",17.91,"3,334",0.66,"108,000",5.50,"100,829",17.26,"3,276,873",22.91,"85,908",40.56,"2,782,902",47.30
2000M08,"106,387",13.22,"3,428,515",17.13,"79,012",16.72,"2,538,141",20.73,"4,749",-2.66,"153,042",0.69,"3,342",4.05,"107,368",7.65,"101,637",14.10,"3,275,441",18.03,"75,670",17.35,"2,430,761",21.38
2000M09,"101,780",21.49,"3,277,955",24.27,"63,469",43.86,"2,037,518",47.14,"5,257",22.74,"169,312",25.57,"3,506",42.81,"112,539",46.05,"96,521",21.43,"3,108,580",24.20,"59,963",43.92,"1,924,978",47.20
2000M10,"105,796",11.52,"3,384,373",13.20,"75,010",11.46,"2,391,920",13.13,"5,316",-4.66,"170,048",-3.23,"3,669",0.27,"116,998",1.77,"100,478",12.53,"3,214,274",14.22,"71,341",12.10,"2,274,922",13.78
2000M11,"99,648",5.28,"3,104,293",3.93,"75,049",27.26,"2,330,705",25.64,"4,940",-2.97,"153,899",-4.20,"3,065",12.81,"95,178",11.37,"94,706",5.74,"2,950,326",4.39,"71,979",27.96,"2,235,383",26.34
2000M12,"98,934",8.71,"2,999,833",4.23,"62,465",12.36,"1,888,302",7.74,"4,997",9.20,"151,520",4.71,"2,987",-1.42,"90,294",-5.49,"93,937",8.69,"2,848,308",4.21,"59,478",13.15,"1,798,008",8.50
2001M01,"82,396",-12.78,"2,504,458",-17.90,"61,358",-5.42,"1,859,344",-10.95,"4,567",-7.51,"138,829",-12.93,"2,425",-25.57,"73,492",-29.91,"77,826",-13.07,"2,365,543",-18.17,"58,933",-4.36,"1,785,850",-9.95
2001M02,"75,276",1.64,"2,326,202",-3.57,"58,403",10.09,"1,799,235",4.46,"3,916",-3.31,"121,020",-8.26,"2,602",-9.81,"80,155",-14.44,"71,358",1.93,"2,205,128",-3.30,"55,801",11.24,"1,719,079",5.55
2001M03,"90,798",-2.11,"2,802,411",-7.27,"61,536",-1.11,"1,893,412",-6.32,"4,905",-1.84,"151,392",-7.02,"2,797",-14.41,"86,059",-18.93,"85,893",-2.12,"2,651,007",-7.29,"58,739",-0.37,"1,807,344",-5.62
2001M04,"84,018",-6.93,"2,557,621",-13.65,"62,545",-5.90,"1,898,191",-12.67,"4,621",-1.60,"140,669",-8.71,"3,001",-16.50,"91,084",-22.50,"79,395",-7.22,"2,416,898",-13.92,"59,544",-5.29,"1,807,107",-12.10
2001M05,"80,918",-20.11,"2,463,281",-25.54,"55,777",-24.40,"1,692,769",-29.52,"4,188",-17.05,"127,498",-22.67,"3,017",-30.82,"91,565",-35.50,"76,728",-20.27,"2,335,714",-25.69,"52,760",-24.00,"1,601,204",-29.14
2001M06,"86,173",-9.12,"2,538,239",-17.63,"53,214",-16.75,"1,562,818",-24.52,"4,313",-5.46,"127,033",-14.31,"2,884",3.52,"84,691",-6.16,"81,860",-9.30,"2,411,195",-17.80,"50,330",-17.67,"1,478,120",-25.36
2001M07,"85,581",-19.33,"2,472,736",-28.28,"57,154",-35.96,"1,646,595",-43.04,"4,732",-10.02,"136,714",-20.01,"2,748",-17.58,"79,158",-26.71,"80,846",-19.82,"2,335,928",-28.71,"54,406",-36.67,"1,567,437",-43.68
2001M08,"84,337",-20.73,"2,437,499",-28.91,"46,602",-41.02,"1,342,975",-47.09,"4,246",-10.59,"122,720",-19.81,"3,601",7.75,"103,766",-3.35,"80,088",-21.20,"2,314,689",-29.33,"43,001",-43.17,"1,239,209",-49.02
2001M09,"74,019",-27.28,"2,143,604",-34.61,"42,903",-32.40,"1,238,889",-39.20,"4,299",-18.22,"124,505",-26.46,"2,740",-21.85,"79,126",-29.69,"69,718",-27.77,"2,019,043",-35.05,"40,163",-33.02,"1,159,762",-39.75
