期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1984,"12,566",...,"6,266",...,664,...,"1,238",...,"1,317",...,277,...,"31,776",...,"15,840",...,"1,682",...,"3,131",...,"3,328",...,706,...
1985,"12,646",0.64,"6,491",3.59,885,33.28,"1,287",3.96,"1,322",0.38,311,12.27,"31,735",-0.13,"16,285",2.81,"2,224",32.22,"3,230",3.16,"3,319",-0.27,783,10.91
1986,"15,555",23.00,"8,018",23.52,917,3.62,"1,881",46.15,"1,736",31.32,271,-12.86,"41,141",29.64,"21,197",30.16,"2,424",8.99,"4,984",54.30,"4,597",38.51,718,-8.30
1987,"17,041",9.55,"8,085",0.84,"1,059",15.49,"2,371",26.05,"2,202",26.84,342,26.20,"53,741",30.63,"25,428",19.96,"3,353",38.33,"7,474",49.96,"6,988",52.01,"1,083",50.84
1988,"17,336",1.73,"7,271",-10.07,"1,473",39.09,"2,687",13.33,"2,410",9.45,426,24.56,"60,768",13.08,"25,484",0.22,"5,160",53.89,"9,421",26.05,"8,444",20.84,"1,495",38.04
1989,"17,333",-0.02,"6,906",-5.02,"1,334",-9.44,"2,653",-1.27,"2,672",10.87,497,16.67,"65,771",8.23,"26,188",2.76,"5,051",-2.11,"10,082",7.02,"10,127",19.93,"1,887",26.22
1990,"18,174",4.85,"6,743",-2.36,"1,767",32.46,"3,112",17.30,"2,437",-8.79,542,9.05,"67,706",2.94,"25,141",-4.00,"6,569",30.05,"11,608",15.14,"9,073",-10.41,"2,019",7.00
1991,"20,056",10.36,"6,976",3.46,"2,608",47.59,"3,456",11.05,"2,566",5.29,532,-1.85,"74,953",10.70,"26,080",3.73,"9,749",48.41,"12,930",11.39,"9,583",5.62,"1,984",-1.73
1992,"20,333",1.38,"6,975",-0.01,"2,965",13.69,"3,237",-6.34,"2,460",-4.13,566,6.39,"80,918",7.96,"27,777",6.51,"11,806",21.10,"12,862",-0.53,"9,797",2.23,"2,258",13.81
1993,"22,632",11.31,"7,532",7.99,"4,055",36.76,"3,379",4.39,"2,488",1.14,695,22.79,"85,884",6.14,"28,587",2.92,"15,376",30.24,"12,829",-0.26,"9,453",-3.51,"2,634",16.65
1994,"24,963",10.30,"7,840",4.09,"4,689",15.64,"3,571",5.68,"2,916",17.20,842,21.15,"94,588",10.13,"29,686",3.84,"17,763",15.52,"13,529",5.46,"11,041",16.80,"3,193",21.22
1995,"30,049",20.37,"8,785",12.05,"5,908",26.00,"4,228",18.40,"3,874",32.85,"1,175",39.55,"113,549",20.05,"33,175",11.75,"22,344",25.79,"15,986",18.16,"14,636",32.56,"4,435",38.90
1996,"32,596",8.48,"9,580",9.05,"6,030",2.06,"5,034",19.06,"4,350",12.29,"1,299",10.55,"118,955",4.76,"34,962",5.39,"22,010",-1.49,"18,366",14.89,"15,875",8.47,"4,746",7.01
1997,"35,480",8.85,"10,824",12.99,"6,384",5.87,"5,773",14.68,"3,886",-10.67,"1,471",13.24,"123,800",4.07,"37,737",7.94,"22,253",1.10,"20,097",9.43,"13,607",-14.29,"5,133",8.15
1998,"39,710",11.92,"13,368",23.50,"6,692",4.82,"7,575",31.21,"3,725",-4.14,"1,244",-15.43,"118,837",-4.01,"40,006",6.01,"20,034",-9.97,"22,676",12.83,"11,154",-18.03,"3,721",-27.51
1999,"41,010",3.27,"13,651",2.12,"7,190",7.44,"7,457",-1.56,"4,017",7.84,"1,377",10.69,"127,468",7.26,"42,421",6.04,"22,347",11.55,"23,190",2.27,"12,480",11.89,"4,270",14.75
2000,"47,868",16.72,"15,288",11.99,"8,958",24.59,"8,225",10.30,"5,134",27.81,"1,592",15.61,"153,431",20.37,"49,023",15.56,"28,703",28.44,"26,347",13.61,"16,443",31.75,"5,101",19.46
2001,"45,801",-4.32,"14,506",-5.12,"8,714",-2.72,"7,385",-10.21,"4,596",-10.48,"1,472",-7.54,"135,715",-11.55,"42,968",-12.35,"25,814",-10.07,"21,883",-16.94,"13,647",-17.00,"4,367",-14.39
2002,"52,092",13.74,"15,418",6.29,"11,132",27.75,"7,992",8.22,"5,419",17.91,"1,556",5.71,"150,949",11.23,"44,672",3.97,"32,266",24.99,"23,141",5.75,"15,703",15.07,"4,509",3.25
2003,"58,379",12.07,"16,568",7.46,"13,175",18.35,"8,953",12.02,"6,164",13.75,"1,612",3.60,"170,024",12.64,"48,242",7.99,"38,374",18.93,"26,100",12.79,"17,954",14.33,"4,687",3.95
2004,"71,758",22.92,"20,489",23.67,"16,378",24.31,"11,383",27.14,"7,221",17.15,"2,016",25.06,"215,081",26.50,"61,404",27.28,"49,087",27.92,"34,124",30.74,"21,659",20.64,"6,027",28.59
2005,"82,651",15.18,"22,216",8.43,"19,507",19.10,"13,519",18.76,"9,548",32.23,"2,638",30.85,"256,400",19.21,"68,923",12.25,"60,537",23.33,"41,878",22.72,"29,598",36.65,"8,166",35.49
2006,"97,290",17.71,"25,785",16.06,"24,531",25.75,"16,650",23.16,"10,024",4.99,"2,769",4.97,"299,312",16.74,"79,333",15.10,"75,464",24.66,"51,207",22.28,"30,852",4.24,"8,527",4.42
2007,"113,357",16.51,"27,716",7.49,"29,973",22.18,"20,589",23.66,"11,021",9.95,"2,935",5.99,"345,809",15.53,"84,529",6.55,"91,424",21.15,"62,817",22.67,"33,623",8.98,"8,957",5.04
2008,"110,399",-2.61,"25,776",-7.00,"27,516",-8.20,"20,954",1.77,"11,647",5.68,"7,515",156.05,"351,728",1.71,"82,046",-2.94,"87,890",-3.87,"66,617",6.05,"37,034",10.14,"23,967",167.58
2009,"106,074",-3.92,"24,005",-6.87,"28,206",2.51,"18,929",-9.66,"11,357",-2.49,"9,832",30.83,"322,432",-8.33,"72,930",-11.11,"85,770",-2.41,"57,505",-13.68,"34,592",-6.59,"29,917",24.83
2010,"127,887",20.56,"27,242",13.48,"34,312",21.65,"22,511",18.92,"15,001",32.09,"12,248",24.57,"406,714",26.14,"86,650",18.81,"109,080",27.18,"71,680",24.65,"47,676",37.82,"38,953",30.20
2011,"127,952",0.05,"29,494",8.27,"33,104",-3.52,"23,337",3.67,"12,541",-16.40,"13,041",6.47,"436,121",7.23,"100,475",15.95,"112,860",3.47,"79,498",10.91,"42,767",-10.30,"44,470",14.16
2012,"130,132",1.70,"31,629",7.24,"33,035",-0.21,"23,596",1.11,"11,927",-4.89,"14,215",9.01,"441,004",1.12,"107,215",6.71,"111,941",-0.81,"79,998",0.63,"40,398",-5.54,"48,165",8.31
2013,"131,255",0.86,"32,760",3.58,"33,505",1.42,"24,210",2.61,"10,975",-7.98,"14,585",2.60,"442,929",0.44,"110,553",3.11,"113,045",0.99,"81,732",2.17,"37,041",-8.31,"49,209",2.17
