期間,件數總計(件)_原始值,件數總計(件)_年增率(%),金額總計(新台幣千元)_原始值,金額總計(新台幣千元)_年增率(%),違反金融件數(件)_原始值,違反金融件數(件)_年增率(%),違反金融金額(新台幣千元)_原始值,違反金融金額(新台幣千元)_年增率(%),違法販賣汽柴油件數(件)_原始值,違法販賣汽柴油件數(件)_年增率(%),違法販賣汽柴油金額(新台幣千元)_原始值,違法販賣汽柴油金額(新台幣千元)_年增率(%),走私件數(件)_原始值,走私件數(件)_年增率(%),走私金額(新台幣千元)_原始值,走私金額(新台幣千元)_年增率(%),私造菸酒件數(件)_原始值,私造菸酒件數(件)_年增率(%),私造菸酒金額(新台幣千元)_原始值,私造菸酒金額(新台幣千元)_年增率(%),侵害智慧財產權件數(件)_原始值,侵害智慧財產權件數(件)_年增率(%),侵害智慧財產權金額(新台幣千元)_原始值,侵害智慧財產權金額(新台幣千元)_年增率(%),盜採砂(土)石件數(件)_原始值,盜採砂(土)石件數(件)_年增率(%),濫盜(伐)林木件數 (件)_原始值,濫盜(伐)林木件數 (件)_年增率(%),濫墾林地、山坡地件數(件)_原始值,濫墾林地、山坡地件數(件)_年增率(%),違反公平交易法件數(件)_原始值,違反公平交易法件數(件)_年增率(%),違反公平交易法金額(新台幣千元)_原始值,違反公平交易法金額(新台幣千元)_年增率(%),其他件數(件)_原始值,其他件數(件)_年增率(%),其他金額(新台幣千元)_原始值,其他金額(新台幣千元)_年增率(%)
2003M09,716,-9.14,"721,616",-0.17,73,-37.61,"26,981",-61.52,17,240.00,"1,399",31.86,29,-38.30,"22,175",-38.98,8,-27.27,"3,898",-85.09,259,-37.44,"635,174",11.37,26,8.33,3,-70.00,15,-28.57,0,--,0,--,286,105.76,"31,990",70.12
2003M10,914,11.06,"1,839,024",367.90,164,-2.96,"37,238",91.07,17,6.25,"1,537",14.28,36,-40.00,"65,817",27.37,10,-60.00,"14,552",-38.42,280,-29.47,"1,691,298",559.50,28,27.27,0,-100.00,20,53.85,0,--,0,--,359,201.68,"28,582",-29.33
2003M11,"1,030",-19.97,"1,935,837",131.27,110,-24.66,"60,466",57.08,24,50.00,"1,787",-50.03,59,9.26,"35,240",22.30,145,-56.97,"151,049",10.34,348,16.78,"1,511,056",352.09,31,40.91,8,-38.46,13,225.00,0,--,0,--,292,-26.45,"176,238",-40.26
2003M12,983,0.61,"2,366,831",95.13,106,-47.26,"667,423",320.90,21,16.67,"1,527",-52.31,61,8.93,"63,864",74.92,35,-49.28,"15,708",-49.63,451,6.37,"1,541,850",67.48,25,-47.92,3,-70.00,13,-35.00,0,--,0,--,268,104.58,"76,459",21.62
2004M01,585,-45.63,"1,570,644",73.84,74,-28.16,"91,795",-82.89,17,30.77,887,-71.09,35,-59.77,"18,944",-81.88,18,-47.06,"13,932",23.73,394,-24.23,"1,316,855",571.60,17,-70.69,2,-60.00,10,-33.33,0,--,0,--,18,-92.53,"128,231",145.80
2004M02,585,-25.10,"2,417,432",819.98,77,-38.89,"38,802",41.64,22,46.67,"1,775",-36.04,51,70.00,"101,493",214.04,25,108.33,"37,785",290.06,375,-5.54,"2,226,480","1,247.42",16,-60.98,4,-50.00,14,366.67,0,--,0,--,1,-99.33,"11,096",-56.24
2004M03,518,-46.21,"1,025,667",-37.37,84,-5.62,"115,150",921.20,24,-22.58,"2,460",-60.35,57,72.73,"68,093",42.20,19,0.00,"15,767",244.41,292,-36.24,"801,777",-45.87,22,-42.11,3,-66.67,16,6.67,0,--,0,--,1,-99.63,"22,421",-74.10
2004M04,506,-39.90,"841,457",-38.84,92,-15.60,"221,426",137.50,30,7.14,"4,706",-13.97,40,-16.67,"18,062",-69.78,17,-37.04,"3,286",-95.32,281,-27.01,"518,008",-52.95,20,-23.08,10,66.67,16,77.78,0,--,0,--,0,-100.00,"75,970",64.31
2004M05,539,-40.51,"532,508",-50.43,87,-22.32,"16,378",-71.98,30,-33.33,"5,192",110.54,39,-27.78,"162,215",115.11,20,-25.93,"5,412",-79.93,323,-9.01,"320,588",-64.48,17,41.67,3,50.00,20,42.86,0,--,0,--,0,-100.00,"22,723",174.20
2004M06,521,-31.72,"674,548",-68.50,96,-7.69,"76,497",-13.22,19,5.56,722,-30.31,50,2.04,"68,674",-31.20,34,78.95,"7,898",-98.57,266,-22.67,"434,650",-62.79,30,-26.83,5,-50.00,20,-13.04,0,--,0,--,1,-99.35,"86,106",-62.80
