期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997,"1,487,365",0.52,"760,036",-11.64,"2,972",553.19,-,-,"23,739",-,"5,325","88,650.00","42,952",-12.75,"470,145",7.03,-,-,"14,968",-0.21,"167,228",44.61,"1,235,013",2.08,"6,837",-7.63,"116,105",2.05,"212,054",5.97,"218,151",-0.73,"681,866",1.95,"67,239",3.05,"22,998",59.49,-,-,"91,477",-27.01,"70,638",8.87
1998,"1,535,446",3.23,"717,790",-5.56,429,-85.57,-,-,"2,078",-91.25,971,-81.77,"38,649",-10.02,"569,767",21.19,-,-,"15,323",2.37,"190,439",13.88,"1,281,607",3.77,"6,472",-5.34,"111,687",-3.81,"212,613",0.26,"265,486",21.70,"685,349",0.51,"67,498",0.39,"21,577",-6.18,-,-,"90,936",-0.59,"73,828",4.52
1999,"1,603,402",4.43,"670,106",-6.64,"1,132",163.87,-,-,"7,273",250.00,"18,182","1,772.50","30,485",-21.12,"651,183",14.29,-,-,"15,476",1.00,"209,565",10.04,"1,342,690",4.77,"7,554",16.72,"118,305",5.93,"236,215",11.10,"242,259",-8.75,"738,357",7.73,"73,929",9.53,"19,546",-9.41,-,-,"93,227",2.52,"74,010",0.25
2000,"1,580,568",-1.42,"635,114",-5.22,421,-62.81,-,-,"4,731",-34.95,"11,664",-35.85,"30,916",1.41,"655,701",0.69,-,-,"14,741",-4.75,"227,280",8.45,"1,318,025",-1.84,"7,129",-5.63,"115,293",-2.55,"233,873",-0.99,"214,797",-11.34,"746,933",1.16,"74,335",0.55,"26,067",33.36,-,-,"90,280",-3.16,"71,861",-2.90
2001,"1,474,309",-6.72,"547,766",-13.75,379,-9.98,-,-,"3,670",-22.43,"7,671",-34.23,"20,566",-33.48,"661,060",0.82,-,-,"13,743",-6.77,"219,454",-3.44,"1,240,887",-5.85,"5,404",-24.20,"112,888",-2.09,"242,468",3.68,"176,335",-17.91,"703,792",-5.78,"64,381",-13.39,"4,542",-82.58,-,-,"84,169",-6.77,"80,330",11.79
2002,"1,403,866",-4.78,"491,978",-10.18,"1,350",256.20,-,-,"4,061",10.65,"9,340",21.76,"18,824",-8.47,"666,090",0.76,-,-,"12,919",-6.00,"199,304",-9.18,"1,193,486",-3.82,"5,363",-0.76,"116,173",2.91,"257,576",6.23,"162,111",-8.07,"652,263",-7.32,"53,724",-16.55,"7,840",72.61,-,-,"72,657",-13.68,"76,159",-5.19
2003,"1,441,203",2.66,"462,010",-6.09,"1,451",7.48,-,-,"11,041",171.88,"11,686",25.12,"19,312",2.59,"731,446",9.81,-,-,"13,216",2.30,"191,041",-4.15,"1,218,343",2.08,"5,905",10.11,"131,435",13.14,"291,540",13.19,"151,117",-6.78,"638,346",-2.13,"57,730",7.46,"10,418",32.88,-,-,"78,955",8.67,"75,757",-0.53
2004,"1,482,297",2.85,"475,174",2.85,"4,654",220.74,-,-,"12,203",10.52,"21,762",86.22,"21,134",9.43,"765,309",4.63,-,-,"13,407",1.45,"168,654",-11.72,"1,273,268",4.51,"6,295",6.60,"145,689",10.84,"329,356",12.97,"156,049",3.26,"635,879",-0.39,"59,090",2.36,"3,561",-65.82,-,-,"69,399",-12.10,"76,979",1.61
2005,"1,529,456",3.18,"528,161",11.15,"4,391",-5.65,-,-,"5,827",-52.25,"22,764",4.60,"22,144",4.78,"768,727",0.45,-,-,"13,410",0.02,"164,032",-2.74,"1,311,300",2.99,"8,016",27.34,"155,279",6.58,"352,743",7.10,"144,451",-7.43,"650,811",2.35,"58,024",-1.80,559,-84.30,-,-,"77,239",11.30,"82,334",6.96
2006,"1,543,428",0.91,"606,904",14.91,"7,972",81.55,-,-,"3,247",-44.28,"25,142",10.45,"23,681",6.94,"705,985",-8.16,-,-,"14,122",5.31,"156,375",-4.67,"1,318,321",0.54,"7,934",-1.02,"161,062",3.72,"361,783",2.56,"136,534",-5.48,"651,008",0.03,"55,925",-3.62,948,69.59,-,-,"84,160",8.96,"84,074",2.11
