期間,本國銀行_存款,本國銀行_放款,外國銀行在台分行_存款,外國銀行在台分行_放款,信用合作社_存款,信用合作社_放款,農漁會信用部_存款,農漁會信用部_放款,信託投資公司_存款,信託投資公司_放款
1997,5.36,8.25,4.87,9.69,5.61,9.16,5.23,9.23,6.58,9.08
1998,5.72,8.48,5.51,10.37,5.80,9.03,5.42,9.22,6.96,8.87
1999,5.00,8.03,4.50,10.14,5.06,8.64,4.61,8.72,6.15,8.53
2000,4.62,7.61,3.92,9.63,4.69,8.24,4.45,8.39,5.56,8.26
2001,4.09,6.99,3.34,9.14,4.09,7.70,3.71,7.84,5.35,7.30
2002,2.38,5.53,1.71,7.27,2.37,6.39,2.11,6.74,3.55,6.55
2003,1.47,4.10,0.89,5.70,1.41,4.64,1.23,5.16,2.49,5.01
2004,1.10,3.66,0.56,4.36,1.12,3.59,1.06,4.01,1.99,3.96
2005,1.22,3.65,0.69,2.88,1.19,3.35,1.14,3.51,1.99,3.69
2006,1.40,3.47,0.85,2.88,1.37,3.35,1.30,3.29,2.20,3.50
2007,1.53,3.35,0.94,2.98,1.53,3.39,1.38,3.30,2.27,3.70
2008,1.71,3.46,1.07,3.21,1.75,3.58,1.54,3.42,2.53,3.82
2009,0.85,2.07,0.44,2.01,0.88,2.38,0.71,2.27,-,-
2010,0.61,1.97,0.34,1.42,0.64,2.32,0.56,2.13,-,-
2011,0.75,2.16,0.50,1.47,0.76,2.52,0.64,2.38,-,-
2012,0.82,2.24,0.46,1.31,0.82,2.53,0.68,2.42,-,-
2013,0.80,2.23,0.44,1.18,0.82,2.50,0.68,2.37,-,-
