期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
2001M01,"620,139",...,"485,520",...,"86,509",...,"19,699",...,"16,565",...,0,...,"11,846",...
2001M02,"520,459",...,"440,107",...,"42,819",...,"16,779",...,"12,052",...,0,...,"8,702",...
2001M03,"589,501",...,"490,707",...,"56,097",...,"22,272",...,"9,456",...,0,...,"10,969",...
2001M04,"658,771",...,"558,147",...,"57,309",...,"20,894",...,"12,168",...,0,...,"10,253",...
2001M05,"629,670",...,"525,288",...,"62,296",...,"21,255",...,"10,668",...,0,...,"10,163",...
2001M06,"681,800",...,"560,706",...,"72,339",...,"24,699",...,"11,894",...,0,...,"12,162",...
2001M07,"726,912",...,"593,637",...,"79,318",...,"25,123",...,"14,428",...,0,...,"14,406",...
2001M08,"686,499",...,"558,942",...,"76,575",...,"23,064",...,"10,125",...,0,...,"17,793",...
2001M09,"510,339",...,"430,403",...,"40,619",...,"21,746",...,"8,541",...,0,...,"9,030",...
2001M10,"541,996",...,"473,527",...,"33,381",...,"15,389",...,"8,953",...,0,...,"10,746",...
2001M11,"472,118",...,"407,906",...,"28,177",...,"17,174",...,"7,448",...,0,...,"11,413",...
2001M12,"514,673",...,"445,876",...,"38,467",...,"18,565",...,"9,512",...,0,...,"2,253",...
2002M01,"547,259",-11.75,"453,304",-6.64,"60,969",-29.52,"19,168",-2.70,"13,120",-20.80,0,--,698,-94.11
2002M02,"610,394",17.28,"522,657",18.76,"52,293",22.13,"18,165",8.26,"13,777",14.31,0,--,"3,502",-59.76
2002M03,"589,178",-0.05,"511,777",4.29,"44,988",-19.80,"21,203",-4.80,"9,159",-3.14,0,--,"2,051",-81.30
2002M04,"645,551",-2.01,"557,675",-0.08,"48,409",-15.53,"22,416",7.28,"9,837",-19.16,0,--,"7,214",-29.64
2002M05,"635,046",0.85,"536,534",2.14,"57,124",-8.30,"22,887",7.68,"8,788",-17.62,0,--,"9,713",-4.43
2002M06,"623,611",-8.53,"518,488",-7.53,"63,219",-12.61,"22,803",-7.68,"8,778",-26.20,0,--,"10,323",-15.12
2002M07,"745,914",2.61,"626,027",5.46,"73,222",-7.69,"23,101",-8.05,"12,757",-11.58,0,--,"10,807",-24.98
2002M08,"710,749",3.53,"588,761",5.33,"75,703",-1.14,"25,221",9.35,"10,217",0.91,0,--,"10,847",-39.04
2002M09,"586,296",14.88,"493,357",14.63,"52,041",28.12,"23,054",6.01,"7,454",-12.73,0,--,"10,390",15.06
2002M10,"615,504",13.56,"531,320",12.20,"48,773",46.11,"17,729",15.21,"7,999",-10.66,0,--,"9,683",-9.89
2002M11,"506,730",7.33,"429,243",5.23,"45,174",60.32,"15,516",-9.65,"8,086",8.57,0,--,"8,711",-23.67
2002M12,"503,234",-2.22,"428,153",-3.97,"42,879",11.47,"13,278",-28.48,"11,739",23.41,0,--,"7,185",218.91
2003M01,"542,979",-0.78,"438,237",-3.32,"68,203",11.87,"17,752",-7.39,"16,079",22.55,0,--,"2,708",287.97
2003M02,"619,199",1.44,"544,703",4.22,"44,179",-15.52,"15,382",-15.32,"12,905",-6.33,0,--,"2,030",-42.03
2003M03,"470,929",-20.07,"401,860",-21.48,"42,062",-6.50,"15,736",-25.78,"8,564",-6.50,0,--,"2,707",31.98
2003M04,"232,836",-63.93,"181,136",-67.52,"32,224",-33.43,"10,677",-52.37,"7,821",-20.49,0,--,978,-86.44
2003M05,"112,983",-82.21,"70,351",-86.89,"25,178",-55.92,"8,410",-63.25,"4,609",-47.55,0,--,"4,435",-54.34
2003M06,"249,789",-59.94,"182,901",-64.72,"34,572",-45.31,"16,918",-25.81,"4,882",-44.38,0,--,"10,516",1.87
2003M07,"678,036",-9.10,"563,355",-10.01,"65,384",-10.70,"26,084",12.91,"14,082",10.39,0,--,"9,131",-15.51
2003M08,"718,522",1.09,"597,687",1.52,"71,892",-5.03,"25,253",0.13,"11,865",16.13,0,--,"11,825",9.02
2003M09,"601,265",2.55,"505,944",2.55,"52,857",1.57,"22,660",-1.71,"11,553",54.99,0,--,"8,251",-20.59
2003M10,"651,386",5.83,"555,695",4.59,"52,545",7.73,"21,420",20.82,"11,374",42.19,0,--,"10,352",6.91
2003M11,"536,481",5.87,"459,682",7.09,"43,437",-3.85,"17,225",11.01,"9,950",23.05,0,--,"6,187",-28.97
2003M12,"508,667",1.08,"431,552",0.79,"41,968",-2.12,"14,699",10.70,"10,202",-13.09,0,--,"10,246",42.60
2004M01,"668,148",23.05,"547,811",25.00,"69,714",2.22,"20,044",12.91,"17,331",7.79,0,--,"13,248",389.22
2004M02,"506,105",-18.26,"430,387",-20.99,"40,376",-8.61,"14,703",-4.41,"14,392",11.52,0,--,"6,247",207.73
2004M03,"576,992",22.52,"491,521",22.31,"48,005",14.13,"21,839",38.78,"10,906",27.35,0,--,"4,721",74.40
2004M04,"630,184",170.66,"540,150",198.20,"50,046",55.31,"19,533",82.94,"10,622",35.81,0,--,"9,833",905.42
2004M05,"605,731",436.13,"503,149",615.20,"56,358",123.84,"22,238",164.42,"11,448",148.38,0,--,"12,538",182.71
2004M06,"720,843",188.58,"604,725",230.63,"64,150",85.55,"25,661",51.68,"11,608",137.77,0,--,"14,699",39.78
2004M07,"831,624",22.65,"706,593",25.43,"74,073",13.29,"27,251",4.47,"12,737",-9.55,0,--,"10,970",20.14
2004M08,"755,375",5.13,"641,337",7.30,"68,710",-4.43,"24,319",-3.70,"10,656",-10.19,0,--,"10,353",-12.45
2004M09,"655,359",9.00,"560,059",10.70,"51,755",-2.08,"27,372",20.79,"9,438",-18.31,0,--,"6,735",-18.37
2004M10,"684,425",5.07,"596,695",7.38,"48,038",-8.58,"22,118",3.26,"9,145",-19.60,0,--,"8,429",-18.58
2004M11,"579,489",8.02,"511,400",11.25,"37,879",-12.80,"18,439",7.05,"9,559",-3.93,0,--,"2,212",-64.25
2004M12,"566,377",11.35,"496,872",15.14,"39,526",-5.82,"16,828",14.48,"11,071",8.52,0,--,"2,080",-79.70
2005M01,"568,456",-14.92,"478,901",-12.58,"56,129",-19.49,"16,292",-18.72,"14,453",-16.61,0,--,"2,681",-79.76
2005M02,"712,463",40.77,"616,365",43.21,"52,902",31.02,"18,603",26.53,"16,608",15.40,0,--,"7,985",27.82
2005M03,"598,709",3.76,"514,597",4.69,"46,604",-2.92,"21,738",-0.46,"11,022",1.06,0,--,"4,748",0.57
2005M04,"700,031",11.08,"601,003",11.27,"52,784",5.47,"22,087",13.08,"12,041",13.36,0,--,"12,116",23.22
2005M05,"701,569",15.82,"598,606",18.97,"52,426",-6.98,"25,144",13.07,"10,842",-5.29,0,--,"14,551",16.06
2005M06,"729,041",1.14,"606,228",0.25,"66,640",3.88,"28,588",11.41,"12,033",3.66,0,--,"15,552",5.80
2005M07,"890,098",7.03,"749,587",6.08,"81,542",10.08,"31,258",14.70,"14,936",17.26,0,--,"12,775",16.45
2005M08,"785,337",3.97,"661,936",3.21,"71,511",4.08,"27,068",11.30,"12,096",13.51,0,--,"12,726",22.92
2005M09,"696,855",6.33,"584,392",4.34,"60,578",17.05,"30,352",10.89,"10,220",8.29,0,--,"11,313",67.97
