期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%)
1997M01,"40,000",166.67,255,-96.68,"1,036,022",18.48,"40,000",166.67,99,-98.66,"976,047",20.10,0,--,156,-47.30,"59,975",-2.85
1997M02,0,--,133,-99.54,"1,035,889",22.51,0,--,25,-99.91,"976,022",24.49,0,--,108,-47.32,"59,867",-2.70
1997M03,"30,000",100.00,"40,758",217.53,"1,025,131",20.93,"30,000",100.00,"39,134",254.44,"966,888",22.70,0,--,"1,624",-9.53,"58,243",-2.50
1997M04,0,-100.00,"1,642",-3.13,"1,023,489",18.18,0,-100.00,334,317.50,"966,554",21.13,0,-100.00,"1,308",-19.01,"56,935",-16.42
1997M05,"9,000",--,"1,932",-85.72,"1,030,557",20.88,0,--,110,-99.02,"966,444",22.85,"9,000",--,"1,822",-20.19,"64,113",-2.62
1997M06,0,-100.00,"35,612",44.04,"994,945",18.76,0,-100.00,"26,174",148.02,"940,270",19.61,0,--,"9,438",-33.39,"54,675",5.82
1997M07,0,--,"29,161","5,529.54","965,784",15.35,0,--,"29,151","6,742.96","911,119",15.96,0,--,10,-89.13,"54,665",5.99
1997M08,0,-100.00,"24,850","23,566.67","940,934",8.51,0,-100.00,"24,844","27,504.44","886,275",8.66,0,--,6,-60.00,"54,659",6.01
1997M09,"30,000",0.00,522,105.51,"970,412",8.19,"30,000",0.00,486,"1,085.37","915,789",8.30,0,--,36,-83.10,"54,623",6.38
1997M10,0,-100.00,198,32.89,"970,214",4.69,0,-100.00,184,119.05,"915,605",4.58,0,--,14,-78.46,"54,609",6.49
1997M11,"35,000",0.00,221,-98.94,"1,004,993",6.82,"30,000",-14.29,80,-99.61,"945,525",6.26,"5,000",--,141,-50.35,"59,468",16.61
