期間,就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%)
1978,"6,231",...,"3,578",...,"1,081",...,380,...,661,...,265,...,265,...,"4,183",...,"2,378",...,753,...,277,...,400,...,176,...,199,...,"2,048",...,"1,201",...,329,...,103,...,261,...,89,...,66,...,106,...,23,...,25,...,15,...,25,...,10,...,7,...,67,...,17,...,17,...,9,...,12,...,7,...,4,...,39,...,6,...,8,...,6,...,13,...,3,...,2,...,"4,448",...,"2,689",...,534,...,438,...,469,...,133,...,184,...,"1,202",...,421,...,189,...,213,...,200,...,69,...,111,...,"3,246",...,"2,269",...,345,...,225,...,269,...,64,...,73,...
1979,"6,432",3.21,"3,518",-1.69,"1,181",9.22,408,7.28,749,13.31,289,8.95,287,8.19,"4,306",2.93,"2,338",-1.66,812,7.93,297,7.19,449,12.28,195,10.84,213,7.05,"2,126",3.80,"1,180",-1.76,369,12.18,110,7.52,300,14.88,94,5.21,73,11.68,83,-21.30,17,-27.02,19,-22.74,11,-28.19,23,-9.74,8,-23.41,5,-21.13,50,-25.12,12,-27.00,13,-26.13,6,-28.72,10,-15.14,5,-30.96,3,-24.97,33,-14.75,5,-27.07,7,-15.67,4,-27.38,12,-4.62,3,-6.47,2,-14.04,"4,577",2.91,"2,713",0.90,554,3.72,457,4.29,506,7.72,141,6.03,206,12.06,"1,232",2.52,434,3.32,182,-3.44,217,1.85,207,3.40,71,3.32,120,8.87,"3,345",3.05,"2,279",0.46,372,7.63,240,6.60,298,10.94,70,8.92,86,16.87
1980,"6,547",1.80,"3,359",-4.50,"1,228",4.00,449,10.23,829,10.67,350,21.30,331,15.27,"4,357",1.19,"2,224",-4.91,841,3.50,323,8.68,487,8.39,235,20.41,248,15.96,"2,191",3.04,"1,136",-3.71,387,5.10,126,14.41,342,14.08,115,23.15,83,13.29,82,-1.73,14,-19.48,18,-7.60,11,0.51,24,4.75,9,14.33,7,19.75,49,-2.09,10,-15.73,13,-0.60,6,-5.46,11,4.89,5,7.48,4,12.96,33,-1.18,3,-29.46,5,-20.41,5,9.54,13,4.63,4,25.67,3,30.67,"4,749",3.75,"2,708",-0.20,579,4.51,508,11.23,563,11.37,165,17.30,225,9.20,"1,308",6.16,458,5.47,182,0.03,238,9.58,221,6.62,81,13.73,128,6.57,"3,441",2.86,"2,250",-1.28,396,6.71,270,12.72,342,14.66,85,20.91,97,12.89
1981,"6,672",1.90,"3,308",-1.54,"1,281",4.30,475,5.72,883,6.44,376,7.21,350,5.80,"4,448",2.10,"2,201",-0.99,877,4.32,343,6.05,521,6.96,248,5.60,258,4.33,"2,224",1.51,"1,106",-2.62,404,4.28,132,4.86,362,5.71,128,10.49,92,10.15,92,12.55,15,12.91,22,22.04,11,3.31,27,13.44,10,9.51,7,1.60,55,11.70,11,10.72,14,15.71,6,7.69,12,13.89,6,5.64,4,9.55,37,13.82,4,19.85,7,36.50,4,-2.41,15,13.05,4,15.00,2,-9.46,"4,934",3.90,"2,770",2.27,635,9.73,511,0.60,615,9.28,178,7.43,225,-0.13,"1,362",4.10,478,4.39,204,11.71,233,-2.12,238,7.60,84,3.78,126,-2.01,"3,572",3.82,"2,291",1.84,431,8.82,279,2.99,378,10.36,94,10.89,99,2.37
1982,"6,811",2.08,"3,269",-1.16,"1,318",2.88,492,3.54,973,10.26,399,6.09,360,2.80,"4,509",1.37,"2,159",-1.93,905,3.14,348,1.61,571,9.70,262,5.40,265,2.58,"2,301",3.48,"1,110",0.36,413,2.31,144,8.53,402,11.07,137,7.42,95,3.43,149,61.88,30,95.23,36,64.13,19,69.19,39,46.07,14,44.46,10,55.29,96,75.35,24,106.92,26,78.95,11,74.37,20,62.32,9,58.76,6,38.38,53,42.13,6,61.00,10,35.39,7,61.73,19,32.21,5,25.85,5,83.72,"5,054",2.43,"2,783",0.49,642,1.07,529,3.53,679,10.39,187,5.58,232,3.30,"1,417",4.10,506,5.73,193,-5.31,234,0.58,264,11.07,89,6.40,132,4.92,"3,636",1.79,"2,277",-0.60,449,4.08,295,5.99,415,9.97,99,4.85,101,1.24
1983,"7,070",3.80,"3,305",1.09,"1,367",3.76,495,0.58,"1,089",11.87,427,7.04,387,7.66,"4,561",1.14,"2,099",-2.77,932,3.01,350,0.47,628,9.92,273,4.55,279,5.32,"2,509",9.02,"1,206",8.60,436,5.39,145,0.86,461,14.64,153,11.80,108,14.19,197,32.36,41,37.33,43,20.03,23,23.73,55,39.44,21,43.83,14,33.49,126,31.13,34,43.78,31,18.29,14,22.36,27,33.67,12,36.48,8,36.85,71,34.58,7,13.09,13,24.51,9,25.86,28,45.47,8,55.88,6,29.23,"4,996",-1.13,"2,674",-3.92,642,-0.03,519,-1.96,726,6.95,199,6.04,236,1.72,"1,451",2.35,521,2.95,189,-2.08,229,-2.00,281,6.46,96,7.86,135,2.30,"3,546",-2.49,"2,153",-5.45,453,0.85,290,-1.93,446,7.26,103,4.39,101,0.95
1984,"7,308",3.37,"3,293",-0.36,"1,422",4.03,523,5.66,"1,188",9.13,469,9.89,413,6.56,"4,661",2.20,"2,049",-2.37,970,4.08,365,4.39,680,8.33,302,10.53,295,5.65,"2,647",5.50,"1,244",3.15,453,3.93,158,8.71,508,10.22,167,8.76,118,8.90,183,-6.87,34,-17.76,38,-12.80,22,-4.83,54,-1.07,21,-0.17,15,7.85,116,-7.31,27,-20.87,27,-11.45,13,-2.65,28,3.28,12,1.96,9,8.91,67,-6.10,7,-2.89,11,-16.09,8,-8.13,27,-5.24,8,-3.22,6,6.43,"5,052",1.12,"2,628",-1.71,675,5.26,529,1.90,758,4.40,209,5.11,253,6.87,"1,499",3.35,537,3.06,203,7.44,236,2.74,282,0.38,100,4.47,142,5.21,"3,553",0.21,"2,092",-2.87,473,4.35,293,1.23,476,6.93,109,5.71,111,9.08
1985,"7,428",1.65,"3,228",-1.98,"1,475",3.72,533,1.94,"1,264",6.36,510,8.70,419,1.42,"4,719",1.24,"1,998",-2.49,"1,003",3.45,367,0.61,727,6.99,327,8.07,296,0.46,"2,709",2.35,"1,230",-1.13,472,4.29,165,5.01,536,5.53,183,9.83,122,3.82,222,21.35,44,28.59,48,26.38,25,14.48,65,19.73,25,21.88,16,7.22,141,21.19,36,33.20,34,24.28,15,11.09,32,14.37,15,24.13,9,7.33,81,21.61,8,10.62,14,31.78,10,19.90,33,25.35,10,18.48,7,7.07,"5,210",3.11,"2,653",0.94,706,4.55,543,2.74,825,8.79,220,5.07,263,4.04,"1,580",5.37,568,5.77,211,3.89,245,3.78,304,7.66,103,2.99,150,5.76,"3,630",2.16,"2,085",-0.30,495,4.84,299,1.91,521,9.45,116,6.98,113,1.84
1986,"7,733",4.10,"3,221",-0.20,"1,540",4.40,560,5.08,"1,411",11.63,548,7.60,452,8.01,"4,821",2.15,"1,949",-2.49,"1,037",3.36,375,2.06,794,9.14,352,7.80,314,6.06,"2,912",7.51,"1,273",3.53,503,6.60,185,11.80,617,14.99,196,7.24,138,12.73,212,-4.85,36,-16.70,45,-5.24,25,-1.40,66,1.73,23,-8.93,16,2.90,136,-3.49,30,-16.37,34,1.87,15,-0.37,33,4.48,14,-6.17,9,-0.94,75,-7.21,6,-18.23,11,-22.45,10,-2.92,33,-0.91,8,-13.32,7,8.19,"5,216",0.12,"2,598",-2.05,708,0.29,558,2.68,847,2.71,229,4.20,275,4.74,"1,639",3.73,597,5.28,213,1.24,252,3.17,310,2.08,108,4.48,158,5.08,"3,577",-1.45,"2,001",-4.04,495,-0.12,306,2.28,538,3.08,121,3.95,118,4.29
1987,"8,022",3.74,"3,189",-1.00,"1,590",3.24,592,5.67,"1,542",9.33,614,11.89,495,9.55,"4,966",3.00,"1,913",-1.84,"1,079",4.08,396,5.64,859,8.21,382,8.61,336,6.89,"3,057",4.97,"1,277",0.28,511,1.50,196,5.74,683,10.78,231,17.77,160,15.59,161,-23.95,24,-34.60,34,-25.48,18,-25.40,54,-18.57,19,-17.93,12,-24.06,100,-26.91,19,-37.57,25,-26.92,12,-20.15,27,-18.04,10,-29.77,6,-30.60,61,-18.62,5,-20.38,9,-20.91,7,-33.37,27,-19.11,9,2.41,6,-15.82,"5,248",0.62,"2,557",-1.60,706,-0.34,570,2.08,873,3.06,245,6.96,298,8.28,"1,667",1.72,597,-0.14,209,-2.20,255,0.85,322,3.78,116,7.55,169,7.41,"3,581",0.11,"1,960",-2.04,497,0.47,315,3.10,552,2.64,129,6.44,129,9.44
