期間,出口-合計_原始值,出口-合計_年增率(%),出口-合計_原始值,出口-合計_年增率(%),出口-動物及動物產品_原始值,出口-動物及動物產品_年增率(%),出口-動物及動物產品_原始值,出口-動物及動物產品_年增率(%),出口-動物及動物產品-(1)水產品_原始值,出口-動物及動物產品-(1)水產品_年增率(%),出口-動物及動物產品-(1)水產品_原始值,出口-動物及動物產品-(1)水產品_年增率(%),出口-植物產品_原始值,出口-植物產品_年增率(%),出口-植物產品_原始值,出口-植物產品_年增率(%),出口-調製食品、飲料及菸業_原始值,出口-調製食品、飲料及菸業_年增率(%),出口-調製食品、飲料及菸業_原始值,出口-調製食品、飲料及菸業_年增率(%),出口-礦產品_原始值,出口-礦產品_年增率(%),出口-礦產品_原始值,出口-礦產品_年增率(%),出口-化學品_原始值,出口-化學品_年增率(%),出口-化學品_原始值,出口-化學品_年增率(%),出口-塑膠、橡膠及其製品_原始值,出口-塑膠、橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品_原始值,出口-塑膠、橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(1)塑膠及其製品_原始值,出口-塑膠、橡膠及其製品-(1)塑膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(1)塑膠及其製品_原始值,出口-塑膠、橡膠及其製品-(1)塑膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(2)橡膠及其製品_原始值,出口-塑膠、橡膠及其製品-(2)橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(2)橡膠及其製品_原始值,出口-塑膠、橡膠及其製品-(2)橡膠及其製品_年增率(%),出口-皮革、毛皮製品_原始值,出口-皮革、毛皮製品_年增率(%),出口-皮革、毛皮製品_原始值,出口-皮革、毛皮製品_年增率(%),出口-木材、木製品及編結品、合板_原始值,出口-木材、木製品及編結品、合板_年增率(%),出口-木材、木製品及編結品、合板_原始值,出口-木材、木製品及編結品、合板_年增率(%),出口-紡織品_原始值,出口-紡織品_年增率(%),出口-紡織品_原始值,出口-紡織品_年增率(%),出口-紡織品-(1)紗布_原始值,出口-紡織品-(1)紗布_年增率(%),出口-紡織品-(1)紗布_原始值,出口-紡織品-(1)紗布_年增率(%),出口-紡織品-(2)成衣_原始值,出口-紡織品-(2)成衣_年增率(%),出口-紡織品-(2)成衣_原始值,出口-紡織品-(2)成衣_年增率(%),出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_原始值,出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_年增率(%),出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_原始值,出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_年增率(%),出口-石料、水泥、陶瓷、玻璃及其製品_原始值,出口-石料、水泥、陶瓷、玻璃及其製品_年增率(%),出口-石料、水泥、陶瓷、玻璃及其製品_原始值,出口-石料、水泥、陶瓷、玻璃及其製品_年增率(%),出口-基本金屬及其製品_原始值,出口-基本金屬及其製品_年增率(%),出口-基本金屬及其製品_原始值,出口-基本金屬及其製品_年增率(%),出口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,出口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),出口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,出口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),出口-基本金屬及其製品-(2)其他金屬製品_原始值,出口-基本金屬及其製品-(2)其他金屬製品_年增率(%),出口-基本金屬及其製品-(2)其他金屬製品_原始值,出口-基本金屬及其製品-(2)其他金屬製品_年增率(%),出口-機械及電機設備_原始值,出口-機械及電機設備_年增率(%),出口-機械及電機設備_原始值,出口-機械及電機設備_年增率(%),出口-機械及電機設備-(1)電子產品_原始值,出口-機械及電機設備-(1)電子產品_年增率(%),出口-機械及電機設備-(1)電子產品_原始值,出口-機械及電機設備-(1)電子產品_年增率(%),出口-機械及電機設備-(2)機械_原始值,出口-機械及電機設備-(2)機械_年增率(%),出口-機械及電機設備-(2)機械_原始值,出口-機械及電機設備-(2)機械_年增率(%),出口-機械及電機設備-(3)電機產品_原始值,出口-機械及電機設備-(3)電機產品_年增率(%),出口-機械及電機設備-(3)電機產品_原始值,出口-機械及電機設備-(3)電機產品_年增率(%),出口-機械及電機設備-(4)資訊與通信產品_原始值,出口-機械及電機設備-(4)資訊與通信產品_年增率(%),出口-機械及電機設備-(4)資訊與通信產品_原始值,出口-機械及電機設備-(4)資訊與通信產品_年增率(%),出口-機械及電機設備-(5)家用電器_原始值,出口-機械及電機設備-(5)家用電器_年增率(%),出口-機械及電機設備-(5)家用電器_原始值,出口-機械及電機設備-(5)家用電器_年增率(%),出口-車輛、航空器、船舶及有關運輸設備_原始值,出口-車輛、航空器、船舶及有關運輸設備_年增率(%),出口-車輛、航空器、船舶及有關運輸設備_原始值,出口-車輛、航空器、船舶及有關運輸設備_年增率(%),出口-精密儀器、鐘錶、樂器_原始值,出口-精密儀器、鐘錶、樂器_年增率(%),出口-精密儀器、鐘錶、樂器_原始值,出口-精密儀器、鐘錶、樂器_年增率(%),出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_原始值,出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_年增率(%),出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_原始值,出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_年增率(%),出口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,出口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),出口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,出口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),出口-玩具遊戲品與運動用品及其零、附件_原始值,出口-玩具遊戲品與運動用品及其零、附件_年增率(%),出口-玩具遊戲品與運動用品及其零、附件_原始值,出口-玩具遊戲品與運動用品及其零、附件_年增率(%),出口-其他_原始值,出口-其他_年增率(%),出口-其他_原始值,出口-其他_年增率(%),出口-其他-傢俱_原始值,出口-其他-傢俱_年增率(%),出口-其他-傢俱_原始值,出口-其他-傢俱_年增率(%)
2000,"4,729,286",20.72,"151,949.8",24.97,"38,011",5.61,"1,221.1",9.26,"32,483",6.14,"1,043.3",9.77,"9,867",-12.78,318.1,-9.04,"16,285",27.16,523.8,31.94,"58,300",64.93,"1,869.5",70.08,"128,661",22.29,"4,136.1",26.61,"282,956",16.72,"9,095.3",20.88,"248,431",18.36,"7,985.9",22.58,"34,525",6.10,"1,109.4",9.91,"36,951",-4.26,"1,188.5",-0.63,"12,717",-4.63,408.8,-1.16,"474,630",3.88,"15,268.5",7.73,"338,238",3.62,"10,883.0",7.52,"68,947",1.00,"2,216.9",4.58,"28,688",-9.08,922.2,-5.72,"32,448",7.64,"1,041.9",11.40,"421,524",12.69,"13,554.0",16.78,"258,898",16.67,"8,327.8",20.93,"162,626",6.89,"5,226.4",10.72,"2,661,999",28.82,"85,486.0",33.23,"1,051,638",49.65,"33,754.6",54.61,"311,923",22.20,"10,019.2",26.49,"169,771",14.55,"5,453.3",18.52,"616,105",26.29,"19,801.9",30.78,"20,271",-9.26,653.0,-5.49,"182,872",10.08,"5,885.1",14.23,"131,597",37.75,"4,223.9",42.37,"103,691",48.25,"3,327.3",53.11,"5,505",-7.40,177.1,-4.01,"69,089",20.33,"2,217.3",24.48,"142,686",-1.02,"4,589.8",2.66,"54,941",-0.82,"1,767.3",2.82
2001,"4,254,285",-10.04,"126,314.4",-16.87,"39,870",4.89,"1,181.5",-3.24,"35,072",7.97,"1,039.3",-0.38,"9,288",-5.87,276.0,-13.23,"16,652",2.25,494.2,-5.65,"64,424",10.50,"1,914.1",2.39,"142,278",10.58,"4,222.8",2.10,"270,363",-4.45,"8,026.7",-11.75,"235,354",-5.26,"6,987.8",-12.50,"35,009",1.40,"1,038.9",-6.35,"33,766",-8.62,"1,003.1",-15.60,"11,147",-12.35,330.9,-19.06,"426,518",-10.14,"12,662.1",-17.07,"302,950",-10.43,"9,002.6",-17.28,"59,904",-13.12,"1,771.9",-20.07,"25,005",-12.84,742.9,-19.44,"29,999",-7.55,891.3,-14.45,"382,880",-9.17,"11,369.2",-16.12,"232,299",-10.27,"6,898.6",-17.16,"150,583",-7.41,"4,470.7",-14.46,"2,348,240",-11.79,"69,725.2",-18.44,"858,868",-18.33,"25,514.6",-24.41,"293,565",-5.89,"8,716.5",-13.00,"160,394",-5.52,"4,760.2",-12.71,"540,234",-12.31,"16,037.5",-19.01,"19,440",-4.10,578.0,-11.49,"150,950",-17.46,"4,481.6",-23.85,"120,263",-8.61,"3,567.5",-15.54,"92,329",-10.96,"2,739.4",-17.67,"4,852",-11.86,143.9,-18.75,"58,706",-15.03,"1,742.2",-21.43,"123,933",-13.14,"3,683.2",-19.75,"44,154",-19.63,"1,314.2",-25.64
2002,"4,670,404",9.78,"135,316.8",7.13,"44,297",11.10,"1,283.4",8.62,"39,134",11.58,"1,133.7",9.08,"9,247",-0.44,268.0,-2.90,"16,368",-1.71,474.5,-3.99,"77,976",21.04,"2,258.9",18.01,"165,117",16.05,"4,785.8",13.33,"305,243",12.90,"8,845.0",10.19,"265,908",12.98,"7,705.1",10.27,"39,335",12.36,"1,139.9",9.72,"33,184",-1.72,961.7,-4.13,"10,561",-5.26,306.2,-7.46,"420,059",-1.51,"12,177.4",-3.83,"299,243",-1.22,"8,672.1",-3.67,"53,263",-11.09,"1,547.4",-12.67,"22,572",-9.73,654.0,-11.97,"32,413",8.05,939.4,5.40,"434,220",13.41,"12,582.4",10.67,"270,491",16.44,"7,837.5",13.61,"163,731",8.73,"4,744.7",6.13,"2,572,944",9.57,"74,531.9",6.89,"979,492",14.04,"28,383.0",11.24,"330,479",12.57,"9,577.1",9.87,"209,512",30.62,"6,067.0",27.45,"568,196",5.18,"16,453.9",2.60,"19,433",-0.04,562.9,-2.61,"167,914",11.24,"4,864.1",8.53,"170,931",42.13,"4,955.5",38.91,"137,373",48.79,"3,982.9",45.39,"4,723",-2.66,136.7,-5.00,"59,858",1.96,"1,734.0",-0.47,"127,509",2.89,"3,694.4",0.30,"41,461",-6.10,"1,200.2",-8.67
2003,"5,172,958",10.76,"150,600.6",11.29,"47,489",7.21,"1,381.8",7.67,"42,651",8.99,"1,240.7",9.44,"9,814",6.13,285.2,6.42,"16,270",-0.60,473.3,-0.25,"120,206",54.16,"3,498.9",54.89,"200,874",21.66,"5,847.4",22.18,"344,977",13.02,"10,041.3",13.53,"300,012",12.83,"8,732.7",13.34,"44,965",14.31,"1,308.6",14.80,"32,031",-3.47,931.6,-3.13,"10,447",-1.08,303.9,-0.75,"409,199",-2.59,"11,905.9",-2.23,"288,334",-3.65,"8,387.7",-3.28,"50,627",-4.95,"1,473.7",-4.76,"20,951",-7.18,609.6,-6.79,"34,104",5.22,992.5,5.65,"494,258",13.83,"14,384.2",14.32,"322,165",19.10,"9,375.6",19.62,"172,091",5.11,"5,008.5",5.56,"2,771,821",7.73,"80,714.4",8.30,"1,198,300",22.34,"34,905.2",22.98,"359,529",8.79,"10,463.2",9.25,"216,637",3.40,"6,310.2",4.01,"496,801",-12.57,"14,462.6",-12.10,"18,407",-5.28,535.0,-4.96,"196,199",16.84,"5,708.5",17.36,"273,503",60.01,"7,969.2",60.82,"236,256",71.98,"6,885.6",72.88,"3,988",-15.56,116.0,-15.14,"59,636",-0.37,"1,736.0",0.12,"131,173",2.87,"3,816.9",3.32,"41,185",-0.67,"1,198.1",-0.17
2004,"6,097,235",17.87,"182,370.4",21.10,"52,284",10.10,"1,563.6",13.16,"46,965",10.11,"1,404.8",13.23,"9,620",-1.98,287.6,0.84,"17,740",9.04,530.9,12.17,"189,307",57.49,"5,658.3",61.72,"266,481",32.66,"7,969.4",36.29,"422,886",22.58,"12,647.4",25.95,"370,549",23.51,"11,081.9",26.90,"52,337",16.39,"1,565.5",19.63,"32,442",1.28,970.8,4.21,"11,109",6.34,332.2,9.31,"420,368",2.73,"12,572.3",5.60,"299,620",3.91,"8,962.7",6.86,"43,884",-13.32,"1,311.3",-11.02,"20,755",-0.94,620.7,1.82,"40,665",19.24,"1,216.0",22.52,"616,028",24.64,"18,429.2",28.12,"401,851",24.73,"12,021.9",28.23,"214,178",24.46,"6,407.0",27.92,"3,168,721",14.32,"94,783.6",17.43,"1,524,173",27.19,"45,578.2",30.58,"420,962",17.09,"12,591.3",20.34,"280,936",29.68,"8,406.3",33.22,"441,194",-11.19,"13,204.5",-8.70,"16,875",-8.32,504.9,-5.63,"218,366",11.30,"6,532.6",14.44,"408,575",49.39,"12,216.0",53.29,"368,171",55.84,"11,007.6",59.86,"3,613",-9.40,107.9,-6.98,"62,067",4.08,"1,857.2",6.98,"139,821",6.59,"4,182.3",9.57,"42,363",2.86,"1,267.5",5.79
2005,"6,374,496",4.55,"198,431.7",8.81,"52,448",0.31,"1,630.5",4.28,"46,366",-1.28,"1,441.1",2.58,"8,861",-7.89,277.1,-3.65,"17,261",-2.70,538.3,1.39,"295,353",56.02,"9,173.6",62.13,"325,011",21.96,"10,126.4",27.07,"472,645",11.77,"14,732.7",16.49,"413,158",11.50,"12,877.8",16.21,"59,487",13.66,"1,854.9",18.49,"30,806",-5.04,961.4,-0.97,"9,553",-14.01,297.9,-10.33,"379,552",-9.71,"11,840.1",-5.82,"277,246",-7.47,"8,650.9",-3.48,"30,595",-30.28,953.4,-27.29,"17,293",-16.68,539.4,-13.10,"40,026",-1.57,"1,246.7",2.52,"656,069",6.50,"20,467.7",11.06,"423,944",5.50,"13,238.0",10.12,"232,124",8.38,"7,229.4",12.84,"3,158,569",-0.32,"98,268.6",3.68,"1,641,348",7.69,"51,008.1",11.91,"429,808",2.10,"13,397.4",6.40,"303,777",8.13,"9,449.8",12.41,"352,540",-20.09,"10,973.9",-16.89,"18,519",9.74,577.3,14.34,"234,389",7.34,"7,307.5",11.86,"462,385",13.17,"14,346.8",17.44,"423,916",15.14,"13,148.3",19.45,"3,188",-11.76,99.1,-8.16,"58,501",-5.75,"1,822.4",-1.87,"155,768",11.41,"4,854.5",16.07,"41,188",-2.77,"1,283.5",1.26
2006,"7,279,318",14.19,"224,017.4",12.89,"44,129",-15.86,"1,357.8",-16.72,"37,350",-19.45,"1,149.2",-20.26,"9,560",7.89,294.7,6.35,"17,734",2.74,546.1,1.45,"361,205",22.30,"11,121.9",21.24,"365,978",12.60,"11,268.6",11.28,"516,791",9.34,"15,908.3",7.98,"452,452",9.51,"13,927.0",8.15,"64,339",8.16,"1,981.3",6.81,"30,560",-0.80,940.9,-2.13,"9,572",0.20,294.6,-1.11,"382,844",0.87,"11,788.8",-0.43,"281,358",1.48,"8,664.6",0.16,"26,617",-13.00,819.0,-14.10,"16,444",-4.91,506.4,-6.12,"45,344",13.29,"1,395.3",11.92,"780,544",18.97,"24,010.7",17.31,"479,293",13.06,"14,742.4",11.36,"301,249",29.78,"9,268.4",28.20,"3,626,739",14.82,"111,592.2",13.56,"2,041,987",24.41,"62,822.9",23.16,"463,549",7.85,"14,269.3",6.51,"353,707",16.44,"10,882.8",15.16,"321,080",-8.92,"9,883.9",-9.93,"20,981",13.29,645.7,11.85,"239,667",2.25,"7,378.6",0.97,"596,612",29.03,"18,361.6",27.98,"555,306",30.99,"17,090.6",29.98,"3,382",6.09,104.1,5.05,"57,755",-1.28,"1,776.9",-2.50,"177,845",14.17,"5,474.4",12.77,"41,865",1.64,"1,288.9",0.42
2007,"8,087,934",11.11,"246,677.3",10.12,"43,492",-1.44,"1,327.0",-2.27,"36,737",-1.64,"1,121.1",-2.45,"10,469",9.51,319.0,8.25,"20,516",15.69,625.8,14.59,"463,178",28.23,"14,139.6",27.13,"487,294",33.15,"14,866.4",31.93,"620,676",20.10,"18,925.3",18.96,"547,562",21.02,"16,696.0",19.88,"73,114",13.64,"2,229.3",12.52,"32,151",5.21,980.0,4.16,"9,265",-3.21,282.8,-4.01,"381,283",-0.41,"11,622.6",-1.41,"281,506",0.05,"8,580.4",-0.97,"23,415",-12.03,713.7,-12.86,"15,382",-6.46,469.0,-7.39,"47,414",4.57,"1,445.8",3.62,"910,280",16.62,"27,752.3",15.58,"570,353",19.00,"17,386.8",17.94,"339,927",12.84,"10,365.3",11.83,"3,870,130",6.71,"118,031.9",5.77,"2,149,465",5.26,"65,551.4",4.34,"509,533",9.92,"15,538.7",8.90,"472,872",33.69,"14,423.6",32.54,"312,981",-2.52,"9,552.1",-3.36,"21,672",3.29,661.0,2.37,"263,260",9.84,"8,028.8",8.81,"652,669",9.40,"19,916.2",8.47,"607,505",9.40,"18,538.5",8.47,"3,340",-1.24,101.9,-2.11,"60,736",5.16,"1,852.5",4.25,"199,735",12.31,"6,092.4",11.29,"44,446",6.17,"1,355.4",5.16
2008,"8,010,379",-0.96,"255,629.2",3.63,"50,533",16.19,"1,607.3",21.12,"44,039",19.88,"1,400.4",24.91,"11,802",12.73,377.0,18.18,"23,290",13.52,741.2,18.44,"600,417",29.63,"19,208.2",35.85,"538,948",10.60,"17,240.6",15.97,"615,954",-0.76,"19,674.0",3.96,"538,023",-1.74,"17,188.9",2.95,"77,931",6.59,"2,485.0",11.47,"31,487",-2.07,"1,003.8",2.43,"7,607",-17.90,242.4,-14.29,"341,928",-10.32,"10,900.4",-6.21,"254,643",-9.54,"8,118.8",-5.38,"19,748",-15.66,628.7,-11.91,"14,480",-5.86,461.2,-1.66,"46,432",-2.07,"1,479.6",2.34,"884,674",-2.81,"28,220.5",1.69,"572,301",0.34,"18,247.6",4.95,"312,374",-8.11,"9,972.8",-3.79,"3,583,096",-7.42,"114,246.5",-3.21,"1,989,661",-7.43,"63,456.3",-3.20,"503,263",-1.23,"16,038.1",3.21,"414,708",-12.30,"13,247.7",-8.15,"319,938",2.22,"10,167.5",6.44,"21,441",-1.07,684.6,3.57,"285,727",8.53,"9,094.8",13.28,"681,319",4.39,"21,808.8",9.50,"637,691",4.97,"20,420.8",10.15,"3,347",0.21,106.3,4.32,"56,726",-6.60,"1,804.6",-2.59,"235,952",18.13,"7,518.3",23.40,"42,473",-4.44,"1,350.9",-0.33
2009,"6,708,884",-16.25,"203,674.9",-20.32,"41,584",-17.71,"1,260.3",-21.59,"35,881",-18.52,"1,087.1",-22.37,"11,256",-4.63,340.9,-9.58,"26,611",14.26,807.4,8.93,"385,232",-35.84,"11,697.6",-39.10,"458,761",-14.88,"13,930.4",-19.20,"544,683",-11.57,"16,523.3",-16.01,"481,928",-10.43,"14,619.8",-14.95,"62,756",-19.47,"1,903.6",-23.40,"25,388",-19.37,768.2,-23.47,"5,970",-21.52,180.9,-25.37,"308,285",-9.84,"9,344.3",-14.28,"228,861",-10.12,"6,935.4",-14.58,"15,103",-23.52,456.6,-27.37,"12,324",-14.89,373.6,-18.99,"45,080",-2.91,"1,369.1",-7.47,"638,206",-27.86,"19,359.3",-31.40,"406,264",-29.01,"12,322.0",-32.47,"231,944",-25.75,"7,037.5",-29.43,"3,134,530",-12.52,"95,215.0",-16.66,"1,865,007",-6.27,"56,664.1",-10.70,"362,110",-28.05,"10,987.1",-31.49,"306,695",-26.05,"9,316.5",-29.67,"302,556",-5.43,"9,192.2",-9.59,"16,979",-20.81,514.7,-24.82,"255,310",-10.65,"7,727.5",-15.03,"528,794",-22.39,"16,087.1",-26.24,"492,809",-22.72,"14,996.6",-26.56,"3,182",-4.93,96.2,-9.50,"50,059",-11.75,"1,519.5",-15.80,"236,811",0.36,"7,170.5",-4.63,"35,821",-15.66,"1,086.5",-19.57
