期間,總計-總機構_原始值,總計-總機構_年增率(%),總計-分機構_原始值,總計-分機構_年增率(%),全體貨幣機構-中央銀行_原始值,全體貨幣機構-中央銀行_年增率(%),全體貨幣機構-其他貨幣機構-本國銀行-總行_原始值,全體貨幣機構-其他貨幣機構-本國銀行-總行_年增率(%),全體貨幣機構-其他貨幣機構-本國銀行-分行_原始值,全體貨幣機構-其他貨幣機構-本國銀行-分行_年增率(%),全體貨幣機構-其他貨幣機構-外國銀行在台分行-總行_原始值,全體貨幣機構-其他貨幣機構-外國銀行在台分行-總行_年增率(%),全體貨幣機構-其他貨幣機構-外國銀行在台分行-分行_原始值,全體貨幣機構-其他貨幣機構-外國銀行在台分行-分行_年增率(%),全體貨幣機構-其他貨幣機構-信用合作社-總社_原始值,全體貨幣機構-其他貨幣機構-信用合作社-總社_年增率(%),全體貨幣機構-其他貨幣機構-信用合作社-分社_原始值,全體貨幣機構-其他貨幣機構-信用合作社-分社_年增率(%),全體貨幣機構-其他貨幣機構-農會信用部-本部_原始值,全體貨幣機構-其他貨幣機構-農會信用部-本部_年增率(%),全體貨幣機構-其他貨幣機構-農會信用部-分部_原始值,全體貨幣機構-其他貨幣機構-農會信用部-分部_年增率(%),全體貨幣機構-其他貨幣機構-漁會信用部-本部_原始值,全體貨幣機構-其他貨幣機構-漁會信用部-本部_年增率(%),全體貨幣機構-其他貨幣機構-漁會信用部-分部_原始值,全體貨幣機構-其他貨幣機構-漁會信用部-分部_年增率(%),其他金融機構-中華郵政公司-總公司_原始值,其他金融機構-中華郵政公司-總公司_年增率(%),其他金融機構-中華郵政公司-支局_原始值,其他金融機構-中華郵政公司-支局_年增率(%),信託投資公司-總公司_原始值,信託投資公司-總公司_年增率(%),信託投資公司-分公司_原始值,信託投資公司-分公司_年增率(%),人壽保險公司-總公司_原始值,人壽保險公司-總公司_年增率(%),人壽保險公司-分公司_原始值,人壽保險公司-分公司_年增率(%)
1997,509,0.39,"5,181",4.02,1,0.00,47,38.24,"2,176",48.63,45,9.76,69,6.15,64,-12.33,505,-15.13,287,0.70,943,1.95,27,0.00,48,2.13,1,0.00,"1,276",0.24,5,0.00,61,10.91,32,0.00,103,21.18
1998,501,-1.57,"5,368",3.61,1,0.00,48,2.13,"2,404",10.48,46,2.22,72,4.35,54,-15.63,446,-11.68,287,0.00,958,1.59,27,0.00,49,2.08,1,0.00,"1,288",0.94,4,-20.00,43,-29.51,33,3.13,108,4.85
1999,495,-1.20,"5,531",3.04,1,0.00,52,8.33,"2,576",7.15,41,-10.87,71,-1.39,50,-7.41,416,-6.73,287,0.00,971,1.36,27,0.00,49,0.00,1,0.00,"1,296",0.62,3,-25.00,36,-16.28,33,0.00,116,7.41
2000,491,-0.81,"5,636",1.90,1,0.00,53,1.92,"2,693",4.54,39,-4.88,70,-1.41,48,-4.00,394,-5.29,287,0.00,973,0.21,27,0.00,49,0.00,1,0.00,"1,305",0.69,3,0.00,36,0.00,32,-3.03,116,0.00
2001,448,-8.76,"5,841",3.64,1,0.00,53,0.00,"3,005",11.59,38,-2.56,69,-1.43,39,-18.75,373,-5.33,260,-9.41,883,-9.25,25,-7.41,44,-10.20,1,0.00,"1,316",0.84,3,0.00,33,-8.33,28,-12.50,118,1.72
2002,437,-2.46,"5,850",0.15,1,0.00,52,-1.89,"3,068",2.10,36,-5.26,68,-1.45,37,-5.13,358,-4.02,253,-2.69,847,-4.08,25,0.00,40,-9.09,1,0.00,"1,320",0.30,3,0.00,29,-12.12,29,3.57,120,1.69
2003,433,-0.92,"5,930",1.37,1,0.00,50,-3.85,"3,173",3.42,36,0.00,69,1.47,35,-5.41,341,-4.75,253,0.00,828,-2.24,25,0.00,39,-2.50,1,0.00,"1,322",0.15,3,0.00,28,-3.45,29,0.00,130,8.33
2004,428,-1.15,"5,922",-0.13,1,0.00,49,-2.00,"3,189",0.50,35,-2.78,67,-2.90,32,-8.57,319,-6.45,254,0.40,827,-0.12,25,0.00,39,0.00,1,0.00,"1,320",-0.15,3,0.00,26,-7.14,28,-3.45,135,3.85
2005,422,-1.40,"5,943",0.35,1,0.00,46,-6.12,"3,239",1.57,36,2.86,68,1.49,29,-9.38,295,-7.52,253,-0.39,827,0.00,25,0.00,39,0.00,1,0.00,"1,321",0.08,2,-33.33,20,-23.08,29,3.57,134,-0.74
2006,415,-1.66,"5,970",0.45,1,0.00,43,-6.52,"3,285",1.42,33,-8.33,64,-5.88,28,-3.45,289,-2.03,253,0.00,817,-1.21,25,0.00,40,2.56,1,0.00,"1,320",-0.08,2,0.00,20,0.00,29,0.00,135,0.75
