期間,境外外國機構投資人-申請登記件數_原始值,境外外國機構投資人-申請登記件數_年增率(%),境外外國機構投資人-完成登記件數_原始值,境外外國機構投資人-完成登記件數_年增率(%),境外外國機構投資人-累積匯入淨額_原始值,境外外國機構投資人-累積匯入淨額_年增率(%),境外華僑及外國自然人-申請登記件數_原始值,境外華僑及外國自然人-申請登記件數_年增率(%),境外華僑及外國自然人-完成登記件數_原始值,境外華僑及外國自然人-完成登記件數_年增率(%),境外華僑及外國自然人-累積匯入淨額_原始值,境外華僑及外國自然人-累積匯入淨額_年增率(%),合計數-總完成登記件數_原始值,合計數-總完成登記件數_年增率(%),合計數-總累積匯入淨額_原始值,合計數-總累積匯入淨額_年增率(%),合計數-持有股票市值占總市值比例(%)_原始值,合計數-持有股票市值占總市值比例(%)_年增率(%)
2004M01,87,...,87,...,704.04,...,1,...,1,...,0.20,...,88,...,704.24,...,...,-
2004M02,79,...,79,...,726.34,...,4,...,4,...,0.21,...,83,...,726.55,...,...,-
2004M03,105,...,105,...,754.80,...,0,...,0,...,0.23,...,105,...,755.03,...,...,-
2004M04,103,...,103,...,757.62,...,1,...,1,...,0.23,...,104,...,757.85,...,...,-
2004M05,66,...,66,...,725.50,...,0,...,0,...,0.25,...,66,...,725.75,...,...,-
2004M06,89,...,89,...,718.04,...,1,...,1,...,0.25,...,90,...,718.29,...,...,-
2004M07,76,...,76,...,713.09,...,0,...,0,...,0.25,...,76,...,713.34,...,...,-
2004M08,97,...,97,...,720.07,...,2,...,2,...,0.25,...,99,...,720.32,...,...,-
2004M09,98,...,98,...,727.49,...,4,...,4,...,0.25,...,102,...,727.74,...,...,-
2004M10,86,...,86,...,751.45,...,3,...,3,...,0.25,...,89,...,751.70,...,...,-
2004M11,89,...,89,...,792.47,...,0,...,0,...,0.26,...,89,...,792.73,...,...,-
2004M12,64,...,64,...,800.79,...,0,...,0,...,0.25,...,64,...,801.04,...,...,-
2005M01,59,-32.18,59,-32.18,816.53,15.98,8,700.00,8,700.00,0.28,40.00,67,-23.86,816.81,15.98,...,-
2005M02,76,-3.80,76,-3.80,853.96,17.57,0,-100.00,0,-100.00,0.26,23.81,76,-8.43,854.22,17.57,...,-
2005M03,112,6.67,111,5.71,867.47,14.93,0,--,0,--,0.27,17.39,111,5.71,867.74,14.93,...,-
2005M04,84,-18.45,84,-18.45,876.24,15.66,0,-100.00,0,-100.00,0.28,21.74,84,-19.23,876.52,15.66,...,-
2005M05,71,7.58,71,7.58,909.91,25.42,2,--,2,--,0.35,40.00,73,10.61,910.26,25.42,...,-
2005M06,93,4.49,93,4.49,958.00,33.42,0,-100.00,0,-100.00,0.35,40.00,93,3.33,958.35,33.42,...,-
2005M07,105,38.16,105,38.16,972.00,36.31,1,--,1,--,0.34,36.00,106,39.47,972.34,36.31,...,-
2005M08,101,4.12,101,4.12,963.34,33.78,2,0.00,2,0.00,0.34,36.00,103,4.04,963.68,33.78,...,-
2005M09,112,14.29,112,14.29,956.99,31.55,1,-75.00,1,-75.00,0.34,36.00,113,10.78,957.33,31.55,...,-
2005M10,101,17.44,101,17.44,950.82,26.53,2,-33.33,2,-33.33,0.32,28.00,103,15.73,951.14,26.53,...,-
2005M11,118,32.58,118,32.58,"1,003.94",26.68,0,--,0,--,0.33,26.92,118,32.58,"1,004.27",26.68,...,-
2005M12,103,60.94,103,60.94,"1,089.16",36.01,0,--,0,--,0.33,32.00,103,60.94,"1,089.49",36.01,...,-
2006M01,114,93.22,114,93.22,"1,124.09",37.67,2,-75.00,2,-75.00,0.33,17.86,116,73.13,"1,124.42",37.66,...,-
2006M02,118,55.26,118,55.26,"1,142.82",33.83,2,--,2,--,0.33,26.92,120,57.89,"1,143.15",33.82,...,-
2006M03,161,43.75,161,45.05,"1,144.10",31.89,2,--,2,--,0.34,25.93,163,46.85,"1,144.44",31.89,...,-
2006M04,134,59.52,134,59.52,"1,215.07",38.67,0,--,0,--,0.34,21.43,134,59.52,"1,215.41",38.66,31.67,-
2006M05,148,108.45,148,108.45,"1,214.50",33.47,3,50.00,3,50.00,0.34,-2.86,151,106.85,"1,214.84",33.46,30.58,-
2006M06,152,63.44,152,63.44,"1,196.30",24.87,4,--,4,--,0.33,-5.71,156,67.74,"1,196.63",24.86,30.38,-
2006M07,121,15.24,121,15.24,"1,187.23",22.14,0,-100.00,0,-100.00,0.33,-2.94,121,14.15,"1,187.56",22.13,30.13,-
2006M08,141,39.60,141,39.60,"1,200.98",24.67,0,-100.00,0,-100.00,0.33,-2.94,141,36.89,"1,201.31",24.66,30.99,-
2006M09,114,1.79,114,1.79,"1,217.87",27.26,1,0.00,1,0.00,0.33,-2.94,115,1.77,"1,218.20",27.25,32.09,-
2006M10,129,27.72,129,27.72,"1,234.21",29.80,0,-100.00,0,-100.00,0.33,3.13,129,25.24,"1,234.54",29.80,31.57,-
2006M11,116,-1.69,116,-1.69,"1,278.74",27.37,1,--,1,--,0.31,-6.06,117,-0.85,"1,279.05",27.36,32.03,-
2006M12,121,17.48,121,17.48,"1,305.81",19.89,2,--,2,--,0.31,-6.06,123,19.42,"1,306.12",19.88,31.90,-
2007M01,118,3.51,118,3.51,"1,319.62",17.39,3,50.00,3,50.00,0.32,-3.03,121,4.31,"1,319.94",17.39,32.14,-
2007M02,93,-21.19,93,-21.19,"1,336.61",16.96,1,-50.00,1,-50.00,0.32,-3.03,94,-21.67,"1,336.93",16.95,32.15,-
2007M03,138,-14.29,138,-14.29,"1,313.43",14.80,1,-50.00,1,-50.00,0.34,0.00,139,-14.72,"1,313.77",14.80,31.23,-
2007M04,140,4.48,140,4.48,"1,342.20",10.46,1,--,1,--,0.34,0.00,141,5.22,"1,342.54",10.46,31.80,-
2007M05,141,-4.73,141,-4.73,"1,358.28",11.84,1,-66.67,1,-66.67,0.33,-2.94,142,-5.96,"1,358.61",11.83,31.88,-
2007M06,169,11.18,169,11.18,"1,422.69",18.92,1,-75.00,1,-75.00,0.33,0.00,170,8.97,"1,423.02",18.92,32.63,-
2007M07,171,41.32,171,41.32,"1,442.96",21.54,1,--,1,--,0.34,3.03,172,42.15,"1,443.30",21.53,31.25,-
2007M08,161,14.18,161,14.18,"1,370.55",14.12,1,--,1,--,0.65,96.97,162,14.89,"1,371.20",14.14,30.78,-
2007M09,109,-4.39,109,-4.39,"1,377.58",13.11,1,0.00,0,-100.00,0.64,93.94,109,-5.22,"1,378.22",13.14,31.40,-
2007M10,158,22.48,158,22.48,"1,396.95",13.19,4,--,4,--,0.64,93.94,162,25.58,"1,397.59",13.21,31.60,-
2007M11,131,12.93,131,12.93,"1,381.36",8.03,0,-100.00,0,-100.00,0.68,119.35,131,11.97,"1,382.04",8.05,31.05,-
2007M12,121,0.00,121,0.00,"1,375.32",5.32,0,-100.00,0,-100.00,0.70,125.81,121,-1.63,"1,376.02",5.35,31.10,-
