期間,期貨-長部位_原始值,期貨-長部位_年增率(%),期貨-長部位_原始值,期貨-長部位_年增率(%),期貨-短部位_原始值,期貨-短部位_年增率(%),期貨-短部位_原始值,期貨-短部位_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998M01,0,...,584,...,0,...,584,...,0,...,"6,806",...,0,...,"6,806",...,0,...,"14,780",...
1998M02,0,...,858,...,0,...,"1,179",...,0,...,"6,806",...,0,...,"6,806",...,0,...,"15,649",...
1998M03,0,...,"2,583",...,0,...,"3,895",...,0,...,0,...,0,...,0,...,0,...,"6,478",...
1998M04,0,...,"3,388",...,0,...,"2,068",...,0,...,0,...,0,...,0,...,0,...,"5,456",...
1998M05,0,...,92,...,0,...,214,...,0,...,0,...,0,...,0,...,0,...,306,...
1998M06,0,...,"1,018",...,0,...,140,...,0,...,0,...,0,...,0,...,0,...,"1,158",...
1998M07,0,...,"6,137",...,0,...,"2,005",...,0,...,0,...,0,...,0,...,0,...,"8,142",...
1998M08,0,...,"1,516",...,0,...,"7,370",...,0,...,0,...,0,...,0,...,0,...,"8,886",...
1998M09,0,...,"2,018",...,0,...,"2,385",...,0,...,0,...,0,...,0,...,0,...,"4,403",...
1998M10,0,...,954,...,0,...,814,...,0,...,0,...,0,...,0,...,0,...,"1,768",...
1998M11,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998M12,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1999M01,0,--,0,-100.00,0,--,0,-100.00,0,--,0,-100.00,0,--,0,-100.00,0,--,0,-100.00
1999M02,0,--,137,-84.03,0,--,137,-88.38,0,--,0,-100.00,0,--,0,-100.00,0,--,274,-98.25
1999M03,0,--,137,-94.70,0,--,137,-96.48,0,--,0,--,0,--,0,--,0,--,274,-95.77
1999M04,0,--,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,0,--,0,--,0,-100.00
1999M05,0,--,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,0,--,0,--,0,-100.00
1999M06,0,--,26,-97.45,0,--,26,-81.43,0,--,0,--,0,--,0,--,0,--,52,-95.51
1999M07,0,--,28,-99.54,0,--,28,-98.60,0,--,0,--,0,--,0,--,0,--,56,-99.31
1999M08,0,--,553,-63.52,0,--,553,-92.50,0,--,0,--,0,--,0,--,0,--,"1,106",-87.55
1999M09,0,--,487,-75.87,0,--,487,-79.58,0,--,0,--,0,--,0,--,0,--,974,-77.88
1999M10,0,--,475,-50.21,0,--,542,-33.42,0,--,0,--,0,--,0,--,0,--,"1,017",-42.48
1999M11,0,--,321,--,0,--,254,--,0,--,0,--,0,--,0,--,0,--,575,--
1999M12,0,--,433,--,0,--,433,--,0,--,0,--,0,--,0,--,0,--,866,--
2000M01,0,--,253,--,0,--,253,--,0,--,0,--,0,--,0,--,0,--,506,--
2000M02,0,--,58,-57.66,0,--,58,-57.66,0,--,0,--,0,--,0,--,0,--,116,-57.66
2000M03,0,--,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,0,--,0,--,0,-100.00
2000M04,0,--,29,--,0,--,29,--,0,--,0,--,0,--,0,--,0,--,58,--
2000M05,0,--,84,--,0,--,99,--,0,--,0,--,0,--,0,--,0,--,183,--
2000M06,0,--,29,11.54,0,--,15,-42.31,0,--,0,--,0,--,0,--,0,--,44,-15.38
2000M07,0,--,359,"1,182.14",0,--,388,"1,285.71",0,--,0,--,0,--,0,--,0,--,747,"1,233.93"
2000M08,0,--,281,-49.19,0,--,253,-54.25,0,--,0,--,0,--,0,--,0,--,534,-51.72
2000M09,0,--,570,17.04,0,--,570,17.04,0,--,0,--,0,--,0,--,0,--,"1,140",17.04
2000M10,0,--,386,-18.74,0,--,386,-28.78,0,--,0,--,0,--,0,--,0,--,772,-24.09
2000M11,0,--,172,-46.42,0,--,202,-20.47,0,--,0,--,0,--,0,--,0,--,374,-34.96
2000M12,0,--,176,-59.35,0,--,147,-66.05,0,--,0,--,0,--,0,--,0,--,323,-62.70
2001M01,0,--,62,-75.49,0,--,0,-100.00,0,--,0,--,0,--,0,--,0,--,62,-87.75
2001M02,0,--,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,0,--,0,--,0,-100.00
2001M03,0,--,26,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,26,--
2001M04,0,--,167,475.86,0,--,105,262.07,0,--,0,--,0,--,0,--,0,--,272,368.97
