期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),水污染_原始值,水污染_年增率(%),水污染_原始值,水污染_年增率(%),廢棄物_原始值,廢棄物_年增率(%),廢棄物_原始值,廢棄物_年增率(%),空氣污染_原始值,空氣污染_年增率(%),空氣污染_原始值,空氣污染_年增率(%),噪音_原始值,噪音_年增率(%),噪音_原始值,噪音_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),環境用藥_原始值,環境用藥_年增率(%),環境用藥_原始值,環境用藥_年增率(%),飲用水_原始值,飲用水_年增率(%),飲用水_原始值,飲用水_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2001,"54,185",...,"3,124",...,"11,878",...,"1,048",...,"19,067",...,"1,650",...,"13,492",...,333,...,315,...,48,...,"5,542",...,39,...,0,...,0,...,"2,107",...,0,...,120,...,6,...,557,...,0,...,135,...,0,...,972,...,0,...
2002,"74,805",38.05,"4,535",45.17,"9,477",-20.21,"1,033",-1.43,"36,221",89.97,"2,907",76.18,"9,258",-31.38,516,54.95,200,-36.51,28,-41.67,"5,020",-9.42,21,-46.15,105,--,1,--,791,-62.46,0,--,41,-65.83,2,-66.67,"1,440",158.53,0,--,0,--,0,--,"12,252","1,160.49",27,--
2003,"77,059",3.01,"2,534",-44.12,"8,468",-10.65,540,-47.73,"50,580",39.64,"1,538",-47.09,"9,564",3.31,414,-19.77,221,10.50,28,0.00,"4,986",-0.68,9,-57.14,6,-94.29,0,--,"1,371",73.32,0,--,6,-85.37,0,--,482,-66.53,0,--,5,--,0,--,"1,370",-88.82,5,-81.48
2004,"92,060",19.47,"4,212",66.22,"8,499",0.37,601,11.30,"59,968",18.56,"2,630",71.00,"15,617",63.29,939,126.81,199,-9.95,25,-10.71,"5,476",9.83,14,55.56,2,-66.67,0,--,"1,196",-12.76,3,--,6,0.00,0,--,662,37.34,0,--,0,--,0,--,435,-68.25,0,--
2005,"100,223",8.87,"4,040",-4.08,"9,085",6.89,575,-4.33,"61,392",2.37,"2,518",-4.26,"19,555",25.22,891,-5.11,319,60.30,28,12.00,"6,152",12.34,24,71.43,0,--,0,--,"2,420",102.34,3,0.00,9,50.00,0,--,287,-56.65,0,--,153,--,0,--,851,95.63,1,--
2006,"114,780",14.52,"3,921",-2.95,"9,641",6.12,722,25.57,"72,993",18.90,"2,252",-10.56,"22,357",14.33,898,0.79,489,53.29,33,17.86,"6,234",1.33,10,-58.33,0,--,0,--,"2,849",17.73,3,0.00,0,--,0,--,113,-60.63,0,--,33,-78.43,1,--,71,-91.66,2,100.00
2007,"134,952",17.57,"3,457",-11.83,"10,074",4.49,740,2.49,"87,620",20.04,"1,739",-22.78,"27,283",22.03,934,4.01,409,-16.36,26,-21.21,"6,286",0.83,15,50.00,1,--,0,--,"3,067",7.65,1,-66.67,1,--,1,--,47,-58.41,1,--,9,-72.73,0,--,155,118.31,0,--
2008,"135,336",0.28,"3,015",-12.79,"11,516",14.31,569,-23.11,"81,449",-7.04,"1,141",-34.39,"30,560",12.01,"1,286",37.69,322,-21.27,9,-65.38,"7,468",18.80,5,-66.67,3,200.00,0,--,"3,616",17.90,2,100.00,346,"34,500.00",3,200.00,15,-68.09,0,--,9,0.00,0,--,32,-79.35,0,--
2009,"139,312",2.94,"2,364",-21.59,"11,686",1.48,320,-43.76,"76,795",-5.71,916,-19.72,"39,697",29.90,"1,112",-13.53,375,16.46,12,33.33,"6,616",-11.41,4,-20.00,90,"2,900.00",0,--,"3,965",9.65,0,--,4,-98.84,0,--,21,40.00,0,--,61,577.78,0,--,2,-93.75,0,--
2010,"151,806",8.97,"2,862",21.07,"11,857",1.46,404,26.25,"95,703",24.62,"1,276",39.30,"33,334",-16.03,"1,168",5.04,184,-50.93,8,-33.33,"6,833",3.28,4,0.00,6,-93.33,0,--,"3,876",-2.24,2,--,3,-25.00,0,--,10,-52.38,0,--,0,--,0,--,0,--,0,--
2011,"112,504",-25.89,"2,666",-6.85,"7,659",-35.41,377,-6.68,"75,401",-21.21,937,-26.57,"20,570",-38.29,"1,179",0.94,303,64.67,24,200.00,"4,756",-30.40,92,"2,200.00",3,-50.00,0,--,"3,385",-12.67,1,-50.00,414,"13,700.00",55,--,11,10.00,0,--,0,--,0,--,2,--,1,--
2012,"103,898",-7.65,"2,067",-22.47,"5,808",-24.17,295,-21.75,"78,234",3.76,995,6.19,"12,904",-37.27,692,-41.31,318,4.95,12,-50.00,"2,961",-37.74,23,-75.00,0,--,0,--,"3,204",-5.35,2,100.00,465,12.32,48,-12.73,4,-63.64,0,--,0,--,0,--,0,--,0,--
2013,"75,293",-27.53,"2,032",-1.69,"4,678",-19.46,311,5.42,"53,761",-31.28,"1,075",8.04,"10,549",-18.25,570,-17.63,282,-11.32,10,-16.67,"2,579",-12.90,23,0.00,0,--,0,--,"2,958",-7.68,2,0.00,479,3.01,40,-16.67,6,50.00,0,--,1,--,1,--,0,--,0,--
