期間,勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%)
1982,21.50,-,54.33,-,40.69,-,16.55,-,21.47,-,63.31,-,71.19,-,39.93,-,264.18,-,106.98,-,174.53,-,39.65,-,58.09,-,23.35,-,13.39,-,26.76,-,34.62,-,51.34,-,39.69,-,35.31,-,23.81,-,80.22,-,9.70,-,15.06,-,21.50,-,42.14,-,53.44,-,46.12,-,68.84,-,40.24,-,20.58,-,22.72,-,99.50,-,50.27,-,42.15,-,210.49,-,98.88,-,38.59,-,33.54,-,66.04,-,8.78,-,18.61,-,13.76,-,81.29,-,48.15,-,84.95,-,141.83,-,74.28,-,67.69,-,55.97,-,61.39,-,71.96,-,88.06,-,36.22,-,188.17,-,107.31,-,107.30,-,62.75,-,56.20,-,54.67,-,41.02,-,45.78,-,85.56,-,49.72,-
1983,23.12,7.53,60.37,11.12,46.60,14.52,17.34,4.77,23.10,7.59,70.76,11.77,80.21,12.67,42.20,5.68,247.45,-6.33,121.57,13.64,174.70,0.10,39.84,0.48,53.20,-8.42,24.57,5.22,16.04,19.79,29.63,10.72,37.85,9.33,56.94,10.91,44.67,12.55,37.71,6.80,30.05,26.21,81.24,1.27,9.52,-1.86,17.50,16.20,22.70,5.58,45.28,7.45,49.45,-7.47,54.97,19.19,73.28,6.45,42.57,5.79,22.00,6.90,23.88,5.11,97.67,-1.84,44.69,-11.10,35.72,-15.26,208.73,-0.84,97.32,-1.58,37.56,-2.67,32.78,-2.27,65.76,-0.42,9.98,13.67,17.11,-8.06,14.75,7.19,81.82,0.65,57.27,18.94,80.38,-5.38,121.96,-14.01,76.20,2.58,63.39,-6.35,54.97,-1.79,58.18,-5.23,71.34,-0.86,73.78,-16.22,38.66,6.74,183.56,-2.45,100.65,-6.21,109.01,1.59,64.91,3.44,57.01,1.44,49.56,-9.35,41.44,1.02,48.57,6.09,85.07,-0.57,48.12,-3.22
1984,23.02,-0.43,64.46,6.77,48.71,4.53,20.92,20.65,23.04,-0.26,67.56,-4.52,71.80,-10.48,41.35,-2.01,261.72,5.77,123.77,1.81,169.35,-3.06,38.58,-3.16,58.12,9.25,24.27,-1.22,16.54,3.12,31.76,7.19,39.44,4.20,57.03,0.16,46.08,3.16,38.04,0.88,29.81,-0.80,77.40,-4.73,9.68,1.68,16.58,-5.26,24.80,9.25,47.44,4.77,47.51,-3.92,59.27,7.82,70.41,-3.92,39.58,-7.02,23.21,5.50,24.88,4.19,105.75,8.27,44.49,-0.45,35.61,-0.31,187.57,-10.14,105.33,8.23,43.51,15.84,37.15,13.33,76.02,15.60,10.34,3.61,19.82,15.84,15.78,6.98,93.48,14.25,53.74,-6.16,90.74,12.89,138.72,13.74,71.59,-6.05,65.18,2.82,59.02,7.37,57.89,-0.50,80.83,13.30,71.41,-3.21,40.27,4.16,204.81,11.58,114.29,13.55,110.99,1.82,61.73,-4.90,71.33,25.12,48.10,-2.95,45.11,8.86,55.84,14.97,94.68,11.30,52.24,8.56
1985,23.63,2.65,64.55,0.14,48.11,-1.23,25.01,19.55,23.58,2.34,73.16,8.29,71.72,-0.11,42.90,3.75,245.37,-6.25,125.00,0.99,194.98,15.13,39.72,2.95,60.68,4.40,23.44,-3.42,17.69,6.95,34.03,7.15,44.16,11.97,65.79,15.36,47.43,2.93,40.91,7.54,31.25,4.83,77.03,-0.48,8.90,-8.06,16.10,-2.90,29.62,19.44,50.81,7.10,38.08,-19.85,58.78,-0.83,73.00,3.68,39.21,-0.93,25.80,11.16,27.03,8.64,110.89,4.86,46.44,4.38,38.20,7.27,160.40,-14.49,110.66,5.06,43.47,-0.09,40.78,9.77,74.89,-1.49,11.39,10.15,20.57,3.78,14.71,-6.78,91.64,-1.97,61.66,14.74,100.92,11.22,144.18,3.94,74.61,4.22,63.36,-2.79,55.05,-6.73,60.87,5.15,78.37,-3.04,78.72,10.24,44.69,10.98,247.96,21.07,130.85,14.49,101.63,-8.43,65.30,5.78,81.99,14.94,53.47,11.16,45.90,1.75,62.27,11.52,102.99,8.78,55.22,5.70
1986,25.29,7.02,65.19,0.99,48.56,0.94,27.42,9.64,25.30,7.29,73.43,0.37,74.59,4.00,46.50,8.39,255.11,3.97,138.34,10.67,204.59,4.93,45.86,15.46,59.04,-2.70,23.35,-0.38,20.50,15.88,36.98,8.67,51.35,16.28,60.96,-7.34,53.34,12.46,41.99,2.64,34.37,9.98,80.53,4.54,10.20,14.61,17.44,8.32,34.03,14.89,52.63,3.58,42.93,12.74,67.99,15.67,80.97,10.92,43.54,11.04,28.66,11.09,28.71,6.22,111.23,0.31,48.75,4.97,40.45,5.89,154.97,-3.39,111.03,0.33,48.28,11.07,42.05,3.11,74.51,-0.51,12.30,7.99,19.56,-4.91,15.08,2.52,83.58,-8.80,67.14,8.89,118.43,17.35,137.18,-4.86,74.92,0.42,59.94,-5.40,63.53,15.40,57.41,-5.68,81.95,4.57,75.58,-3.99,46.94,5.03,222.69,-10.19,127.15,-2.83,94.14,-7.37,69.85,6.97,83.86,2.28,50.18,-6.15,44.47,-3.12,57.21,-8.13,94.01,-8.72,58.41,5.78
1987,27.00,6.76,69.55,6.69,57.24,17.87,28.80,5.03,26.99,6.68,76.88,4.70,69.93,-6.25,48.25,3.76,278.40,9.13,142.40,2.93,195.24,-4.57,47.08,2.66,57.69,-2.29,26.60,13.92,20.05,-2.20,40.37,9.17,59.49,15.85,65.73,7.82,61.93,16.10,43.99,4.76,34.72,1.02,83.13,3.23,10.48,2.75,20.23,16.00,37.87,11.28,55.41,5.28,52.77,22.92,72.71,6.94,94.10,16.22,45.18,3.77,32.02,11.72,31.35,9.20,113.55,2.09,46.80,-4.00,35.38,-12.53,157.38,1.56,113.68,2.39,49.42,2.36,45.73,8.75,81.11,8.86,12.10,-1.63,20.41,4.35,17.77,17.84,87.59,4.80,72.32,7.72,108.82,-8.11,150.37,9.62,75.09,0.23,54.04,-9.84,63.67,0.22,54.63,-4.84,85.70,4.58,85.05,12.53,50.44,7.46,238.94,7.30,117.72,-7.42,91.98,-2.29,70.20,0.50,71.83,-14.35,49.89,-0.58,42.93,-3.46,60.74,6.17,89.67,-4.62,56.01,-4.11
1988,28.53,5.67,77.75,11.79,74.66,30.43,31.76,10.28,28.42,5.30,84.05,9.33,68.56,-1.96,46.89,-2.82,227.72,-18.20,141.27,-0.79,173.58,-11.09,49.10,4.29,55.98,-2.96,26.21,-1.47,20.41,1.80,40.80,1.07,66.14,11.18,70.16,6.74,70.32,13.55,46.76,6.30,37.22,7.20,88.14,6.03,12.17,16.13,21.31,5.34,42.26,11.59,59.68,7.71,59.80,13.32,69.73,-4.10,99.78,6.04,51.12,13.15,34.03,6.28,34.99,11.61,120.76,6.35,45.99,-1.73,31.89,-9.86,154.60,-1.77,121.36,6.76,50.90,2.99,49.66,8.59,91.34,12.61,15.80,30.58,22.50,10.24,21.79,22.62,93.31,6.53,82.58,14.19,116.71,7.25,168.65,12.16,85.18,13.44,51.09,-5.46,65.99,3.64,54.59,-0.07,91.27,6.50,95.56,12.36,51.84,2.78,234.06,-2.04,124.55,5.80,96.39,4.79,71.91,2.44,70.52,-1.82,59.80,19.86,46.73,8.85,60.39,-0.58,96.03,7.09,73.05,30.42
1989,31.15,9.18,80.42,3.43,94.00,25.90,32.99,3.87,31.01,9.11,83.07,-1.17,65.18,-4.93,54.32,15.85,242.68,6.57,138.60,-1.89,162.01,-6.67,53.90,9.78,59.87,6.95,25.66,-2.10,21.90,7.30,39.38,-3.48,73.66,11.37,77.30,10.18,84.78,20.56,53.34,14.07,38.98,4.73,90.66,2.86,12.62,3.70,23.12,8.49,48.95,15.83,58.78,-1.51,70.95,18.65,78.69,12.85,110.50,10.74,53.41,4.48,34.38,1.03,38.15,9.03,128.70,6.58,48.28,4.98,28.86,-9.50,167.96,8.64,129.24,6.49,58.21,14.36,61.84,24.53,89.48,-2.04,16.71,5.76,25.77,14.53,25.67,17.81,96.97,3.92,92.27,11.73,161.10,38.03,180.32,6.92,94.81,11.31,52.70,3.15,68.95,4.49,52.24,-4.30,89.42,-2.03,107.44,12.43,57.27,10.47,273.76,16.96,140.05,12.44,95.67,-0.75,83.66,16.34,65.74,-6.78,65.22,9.06,45.69,-2.23,68.70,13.76,116.92,21.75,80.13,9.69
1990,33.63,7.96,80.68,0.32,110.01,17.03,32.96,-0.09,33.36,7.58,89.21,7.39,58.06,-10.92,64.10,18.00,239.35,-1.37,147.84,6.67,145.68,-10.08,58.52,8.57,60.69,1.37,21.95,-14.46,23.81,8.72,44.31,12.52,77.98,5.86,87.04,12.60,88.79,4.73,57.75,8.27,42.72,9.59,93.52,3.15,15.87,25.75,23.02,-0.43,51.92,6.07,61.15,4.03,70.97,0.03,80.28,2.02,100.98,-8.62,58.95,10.37,36.06,4.89,41.00,7.47,136.73,6.24,59.22,22.66,35.01,21.31,195.62,16.47,137.65,6.51,62.62,7.58,81.33,31.52,83.97,-6.16,18.52,10.83,26.53,2.95,32.45,26.41,100.31,3.44,106.06,14.95,211.39,31.22,184.46,2.30,99.25,4.68,57.25,8.63,69.94,1.44,57.15,9.40,94.64,5.84,110.05,2.43,61.03,6.57,248.83,-9.11,165.84,18.41,102.49,7.13,89.53,7.02,77.16,17.37,74.47,14.18,56.52,23.70,71.97,4.76,123.85,5.93,100.93,25.96
1991,36.85,9.57,75.58,-6.32,100.51,-8.64,35.06,6.37,36.52,9.47,95.79,7.38,59.07,1.74,70.06,9.30,266.19,11.21,150.55,1.83,170.31,16.91,62.22,6.32,61.16,0.77,24.25,10.48,26.94,13.15,50.02,12.89,80.27,2.94,91.65,5.30,93.14,4.90,62.22,7.74,45.47,6.44,105.37,12.67,17.95,13.11,24.51,6.47,61.12,17.72,66.79,9.22,78.01,9.92,90.12,12.26,107.76,6.71,62.91,6.72,38.16,5.82,43.05,5.00,138.82,1.53,66.53,12.34,40.05,14.40,200.08,2.28,139.48,1.33,63.93,2.09,92.76,14.05,85.32,1.61,17.98,-2.92,27.79,4.75,30.33,-6.53,101.22,0.91,120.11,13.25,207.53,-1.83,185.10,0.35,95.46,-3.82,66.23,15.69,72.26,3.32,62.72,9.75,95.61,1.02,115.31,4.78,59.16,-3.06,242.34,-2.61,174.13,5.00,96.64,-5.71,88.15,-1.54,83.31,7.97,71.30,-4.26,58.41,3.34,73.36,1.93,143.35,15.74,103.68,2.72
