期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府債券_原始值,資產--對非金融機構證券投資-政府債券_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
1997,"19,862,917",10.27,"3,541,258",12.72,"13,306,163",12.12,"1,396,040",19.09,"400,458",9.30,"11,509,665",11.43,"822,081",21.46,"67,260",-11.80,"1,496,021",-0.93,"262,414",-31.90,"192,689",1.50,"175,031",5.26,"489,623",1.25,"684,311",3.08,"14,340,367",7.47,"308,031",-2.01,"892,481",8.76,"2,004,376",11.81,"3,181,377",23.70,"5,148,420",-2.99,"569,905",83.93,"2,235,777",0.36,-,-,"837,623",6.63,"356,550",7.90,"1,565,449",16.90,"68,890",-25.81,"2,109,461",36.01,"-589,357",--
1998,"21,458,391",8.03,"3,809,469",7.57,"14,039,819",5.51,"1,540,830",10.37,"368,013",-8.10,"12,130,976",5.40,"830,408",1.01,"102,859",52.93,"1,970,014",31.68,"314,123",19.71,"209,612",8.78,"182,087",4.03,"478,860",-2.20,"694,452",1.48,"15,624,028",8.95,"293,568",-4.70,"932,201",4.45,"2,115,270",5.53,"3,752,662",17.96,"5,658,787",9.91,"603,545",5.90,"2,267,995",1.44,-,-,"824,027",-1.62,"351,664",-1.37,"1,826,441",16.67,"92,420",34.16,"2,444,174",15.87,"-877,675",--
1999,"22,766,778",6.10,"4,410,769",15.78,"14,658,192",4.40,"1,726,555",12.05,"368,757",0.20,"12,562,880",3.56,"1,114,324",34.19,"81,379",-20.88,"1,794,889",-8.89,"277,962",-11.51,"232,010",10.69,"197,253",8.33,"462,685",-3.38,"806,939",16.20,"16,820,909",7.66,"332,324",13.20,"1,025,928",10.05,"2,537,761",19.97,"3,378,214",-9.98,"6,339,399",12.03,"653,883",8.34,"2,553,400",12.58,-,-,"930,441",12.91,"379,382",7.88,"2,148,445",17.63,"97,796",5.82,"2,350,195",-3.85,"-1,230,014",--
2000,"24,317,510",6.81,"5,005,511",13.48,"15,405,259",5.10,"2,063,150",19.50,"384,455",4.26,"12,957,654",3.14,"1,232,764",10.63,"100,567",23.58,"1,807,246",0.69,"325,484",17.10,"258,593",11.46,"182,086",-7.69,"458,659",-0.87,"708,580",-12.19,"17,935,389",6.63,"321,250",-3.33,"1,053,648",2.70,"2,589,426",2.04,"3,327,813",-1.49,"6,636,613",4.69,"1,176,943",79.99,"2,829,696",10.82,-,-,"938,737",0.89,"496,549",30.88,"2,492,372",16.01,"91,668",-6.27,"2,450,235",4.26,"-1,254,679",--
2001,"25,629,805",5.40,"6,352,382",26.91,"15,067,541",-2.19,"2,134,732",3.47,"460,515",19.78,"12,472,294",-3.75,"1,572,587",27.57,"105,020",4.43,"1,856,941",2.75,"238,447",-26.74,"268,112",3.68,"168,775",-7.31,"540,096",17.76,"692,912",-2.21,"18,750,913",4.55,"274,532",-14.54,"1,118,498",6.15,"3,107,171",19.99,"2,967,276",-10.83,"7,140,862",7.60,"1,101,348",-6.42,"3,041,226",7.48,-,-,"949,400",1.14,"700,131",41.00,"2,919,504",17.14,"202,611",121.03,"2,681,307",9.43,"-1,807,069",--
2002,"27,176,005",6.03,"7,871,457",23.91,"14,760,107",-2.04,"1,934,899",-9.36,"476,744",3.52,"12,348,464",-0.99,"2,086,609",32.69,"107,582",2.44,"1,693,450",-8.80,"194,799",-18.31,"286,700",6.93,"175,301",3.87,"704,305",30.40,"698,460",0.80,"19,154,286",2.15,"278,593",1.48,"1,284,642",14.85,"3,401,076",9.46,"2,823,133",-4.86,"7,288,831",2.07,"1,016,499",-7.70,"3,061,512",0.67,-,-,"890,155",-6.24,"955,769",36.51,"3,494,402",19.69,"377,303",86.22,"2,721,930",1.52,"-1,820,605",--
2003,"29,875,387",9.93,"9,966,938",26.62,"15,328,300",3.85,"1,944,921",0.52,"436,102",-8.52,"12,947,277",4.85,"2,253,528",8.00,"85,462",-20.56,"1,553,131",-8.29,"259,188",33.05,"250,618",-12.59,"178,222",1.67,"1,139,591",61.80,"785,164",12.41,"20,158,128",5.24,"315,679",13.31,"1,600,804",24.61,"4,028,144",18.44,"2,665,711",-5.58,"7,310,961",0.30,"1,123,318",10.51,"3,113,511",1.70,-,-,"929,697",4.44,"1,370,028",43.34,"4,148,006",18.70,"541,227",43.45,"3,055,453",12.25,"-2,251,907",--
2004,"32,531,284",8.89,"10,712,940",7.48,"16,852,463",9.94,"1,917,413",-1.41,"456,144",4.60,"14,478,906",11.83,"2,449,183",8.68,"121,475",42.14,"1,567,602",0.93,"381,680",47.26,"257,420",2.71,"188,521",5.78,"1,389,579",21.94,"856,951",9.14,"21,522,079",6.77,"319,808",1.31,"1,788,254",11.71,"4,590,090",13.95,"2,848,837",6.87,"7,402,851",1.26,"1,244,762",10.81,"3,325,983",6.82,"1,494",-,"925,284",-0.47,"1,586,074",15.77,"4,873,543",17.49,"709,051",31.01,"2,845,363",-6.88,"-2,176,640",--
2005,"36,024,614",10.74,"12,382,522",15.58,"18,166,221",7.80,"1,782,204",-7.05,"557,852",22.30,"15,826,165",9.30,"2,652,754",8.31,"129,381",6.51,"1,677,872",7.03,"583,053",52.76,"239,726",-6.87,"193,085",2.42,"1,988,874",43.13,"922,910",7.70,"22,990,663",6.82,"383,098",19.79,"1,869,647",4.55,"4,888,036",6.49,"2,992,000",5.03,"7,758,841",4.81,"1,437,043",15.45,"3,660,395",10.05,"1,603",7.30,"931,901",0.72,"1,856,404",17.04,"5,704,484",17.05,"811,192",14.41,"3,058,557",7.49,"-2,240,371",--
2006,"38,408,672",6.62,"13,278,845",7.24,"18,692,761",2.90,"1,611,281",-9.59,"525,391",-5.82,"16,556,089",4.61,"3,048,905",14.93,"173,679",34.24,"2,114,438",26.02,"635,693",9.03,"262,635",9.56,"201,716",4.47,"1,913,993",-3.76,"959,792",4.00,"24,171,821",5.14,"368,535",-3.80,"1,942,742",3.91,"5,152,628",5.41,"3,207,793",7.21,"7,799,752",0.53,"1,693,697",17.86,"4,002,250",9.34,"4,424",175.98,"901,968",-3.21,"2,496,023",34.45,"6,434,160",12.79,"925,915",14.14,"3,515,992",14.96,"-2,910,992",--
