期間,發行部門-其他貨幣機構_原始值,發行部門-其他貨幣機構_年增率(%),發行部門-其他金融機構_原始值,發行部門-其他金融機構_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-政府_原始值,持有部門-政府_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2000,-,...,"1,093,137",...,"63,984",...,"58,308",...,"74,889",...,-,...,"5,726",...,"232,319",...,"638,309",...,"19,602",...
2001,-,--,"1,767,844",61.72,"98,199",53.47,"112,784",93.43,"108,263",44.56,-,--,"39,962",597.90,"278,402",19.84,"1,109,388",73.80,"20,846",6.35
2002,-,--,"2,179,703",23.30,"116,219",18.35,"137,767",22.15,"132,190",22.10,-,--,"57,885",44.85,"540,495",94.14,"1,181,962",6.54,"13,184",-36.76
2003,-,--,"2,667,018",22.36,"84,550",-27.25,"186,252",35.19,"133,931",1.32,-,--,"33,920",-41.40,"665,405",23.11,"1,549,015",31.05,"13,945",5.77
2004,"1,494",--,"2,487,208",-6.74,"214,343",153.51,"124,925",-32.93,"101,989",-23.85,"25,944",--,"35,440",4.48,"806,468",21.20,"1,166,063",-24.72,"13,529",-2.98
2005,"1,602",7.23,"2,003,196",-19.46,"96,240",-55.10,"110,037",-11.92,"71,336",-30.06,"26,736",3.05,"31,737",-10.45,"570,824",-29.22,"1,079,886",-7.39,"18,003",33.07
2006,"4,423",176.09,"2,015,260",0.60,"63,653",-33.86,"141,202",28.32,"68,833",-3.51,"29,983",12.15,"26,382",-16.87,"582,241",2.00,"1,088,638",0.81,"18,753",4.16
2007,"3,089",-30.16,"2,085,374",3.48,"38,145",-40.07,"225,057",59.39,"57,035",-17.14,"10,564",-64.77,"13,845",-47.52,"520,266",-10.64,"1,202,025",10.42,"21,527",14.79
2008,"2,660",-13.87,"1,597,164",-23.41,"33,322",-12.64,"272,247",20.97,"55,202",-3.21,"7,308",-30.83,"13,723",-0.88,"400,428",-23.03,"805,846",-32.96,"11,749",-45.42
2009,"1,954",-26.55,"2,000,376",25.25,"23,177",-30.45,"300,703",10.45,"52,204",-5.43,"10,144",38.81,"19,252",40.28,"524,817",31.06,"1,060,035",31.54,"11,999",2.13
2010,"1,408",-27.94,"1,914,803",-4.28,"22,108",-4.61,"291,415",-3.09,"50,962",-2.38,"10,386",2.39,"14,086",-26.83,"481,583",-8.24,"1,030,413",-2.79,"15,258",27.16
2011,"1,606",14.04,"1,749,492",-8.63,"11,546",-47.78,"238,621",-18.12,"44,328",-13.02,"9,023",-13.12,"12,950",-8.06,"460,177",-4.44,"968,385",-6.02,"6,067",-60.24
2012,586,-63.49,"1,858,913",6.25,"19,972",72.98,"265,665",11.33,"55,237",24.61,"9,825",8.88,"11,632",-10.18,"418,070",-9.15,"1,073,217",10.83,"5,881",-3.06
