期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
1997M01,"519,083",2.43,"2,903,446",13.01,"284,173",4.21,"780,382",9.85,"1,838,891",15.93,"10,577,704",8.74,"7,819,572",6.52,"324,798",46.52,"2,276,875",12.68,"45,155",76.15,"111,304",-6.04,-,-,"1,583,638",6.29,"3,422,529",11.26,"14,000,233",9.35,"558,123",13.76,"3,004,321",16.21,"310,056",1.83,"798,042",11.64,"1,896,223",21.09,"10,566,522",8.54,"7,796,202",6.21,"326,811",43.68,"2,270,706",12.24,"45,204",82.61,"127,599",6.93,-,-,"1,666,221",10.35,"3,562,444",15.82,"14,128,966",10.29
1997M02,"665,956",5.63,"2,948,291",14.64,"272,559",0.31,"748,878",9.67,"1,926,854",19.15,"10,657,796",8.90,"7,831,707",6.48,"338,071",42.60,"2,316,459",12.78,"46,346",100.80,"125,213",6.73,-,-,"1,687,393",6.46,"3,614,247",12.87,"14,272,043",9.88,"554,071",-5.70,"3,004,621",16.94,"284,865",5.07,"782,699",14.70,"1,937,057",19.88,"10,688,414",8.85,"7,856,654",6.35,"335,882",40.02,"2,325,658",13.15,"47,761",123.11,"122,459",6.21,-,-,"1,621,635",5.23,"3,558,692",12.73,"14,247,106",9.79
1997M03,"547,955",-3.85,"3,033,879",18.52,"266,946",4.18,"790,257",17.41,"1,976,676",21.23,"10,696,085",8.63,"7,857,436",6.39,"341,524",40.50,"2,316,237",11.13,"50,268",132.00,"130,620",16.59,-,-,"1,605,158",7.07,"3,581,834",14.44,"14,277,919",10.03,"519,331",-6.36,"3,044,718",18.16,"288,391",-0.58,"807,324",20.47,"1,949,003",20.57,"10,699,096",8.84,"7,859,834",6.52,"333,960",41.69,"2,314,304",11.01,"52,726",140.46,"138,272",27.11,-,-,"1,615,046",6.61,"3,564,049",13.82,"14,263,145",10.04
1997M04,"532,448",-1.31,"3,043,131",17.46,"261,348",2.72,"790,160",14.02,"1,991,623",21.18,"10,673,771",8.35,"7,836,989",6.02,"335,021",38.96,"2,299,424",10.39,"54,873",118.85,"147,464",33.31,-,-,"1,583,956",6.52,"3,575,579",14.22,"14,249,350",9.76,"505,175",0.98,"3,038,299",17.12,"282,690",4.27,"796,985",12.93,"1,958,624",21.10,"10,670,313",7.86,"7,830,756",5.37,"327,576",39.09,"2,298,210",10.23,"57,115",102.41,"156,656",39.30,-,-,"1,584,850",7.29,"3,543,474",14.51,"14,213,787",9.44
1997M05,"518,234",-0.23,"3,027,743",17.48,"263,824",4.42,"796,339",14.18,"1,967,580",20.93,"10,686,133",7.28,"7,848,207",4.78,"334,860",35.38,"2,291,324",9.88,"52,309",85.21,"159,433",44.77,-,-,"1,578,397",7.41,"3,545,977",14.51,"14,232,110",8.99,"500,815",1.27,"3,023,264",18.23,"271,601",1.90,"815,016",16.67,"1,936,647",21.65,"10,723,174",6.80,"7,877,367",4.24,"343,211",33.92,"2,292,756",9.66,"47,804",69.12,"162,036",50.31,-,-,"1,587,432",8.75,"3,524,079",15.48,"14,247,253",8.82
1997M06,"523,270",1.39,"3,083,844",16.99,"269,494",1.54,"819,549",14.87,"1,994,801",20.38,"10,727,460",6.44,"7,868,363",4.00,"350,417",31.48,"2,294,134",8.72,"48,733",58.92,"165,813",57.63,-,-,"1,612,313",7.85,"3,607,114",14.44,"14,334,574",8.35,"508,417",-0.22,"3,208,917",14.36,"324,594",-8.78,"871,267",15.52,"2,013,056",18.69,"10,703,468",5.90,"7,842,234",3.34,"349,962",28.30,"2,291,816",8.60,"49,662",50.20,"169,794",65.52,-,-,"1,704,278",5.23,"3,717,334",12.12,"14,420,802",7.43
1997M07,"519,572",1.71,"3,196,555",18.46,"275,326",1.32,"860,004",16.35,"2,061,225",22.14,"10,752,201",5.03,"7,823,926",2.20,"368,451",31.89,"2,323,253",7.02,"54,823",97.30,"181,748",76.19,-,-,"1,654,902",8.75,"3,716,127",15.79,"14,468,328",7.60,"491,398",0.53,"3,221,902",18.30,"293,103",-9.32,"882,429",18.77,"2,046,370",23.47,"10,765,061",4.70,"7,820,878",1.56,"367,180",32.50,"2,324,386",6.76,"59,662",165.08,"192,955",86.03,-,-,"1,666,930",7.20,"3,713,300",15.60,"14,478,361",7.29
1997M08,"513,811",1.41,"3,182,676",20.06,"271,890",3.98,"869,791",19.89,"2,040,995",22.66,"10,761,678",4.05,"7,834,465",1.17,"386,911",35.00,"2,299,916",5.31,"52,594",76.45,"187,792",91.26,-,-,"1,655,492",10.84,"3,696,487",17.06,"14,458,165",7.09,"493,057",2.59,"3,235,511",23.42,"325,415",24.43,"902,949",24.08,"2,007,147",22.96,"10,792,063",3.83,"7,855,219",0.88,"399,206",37.58,"2,299,346",5.12,"55,340",49.14,"182,952",97.46,-,-,"1,721,421",17.12,"3,728,568",20.19,"14,520,631",7.59
1997M09,"514,148",1.98,"3,108,028",17.70,"269,224",4.78,"849,903",17.46,"1,988,901",19.80,"10,841,184",3.89,"7,886,286",0.92,"412,610",40.57,"2,290,054",4.44,"59,236",58.42,"192,998",98.36,-,-,"1,633,275",10.01,"3,622,176",15.18,"14,463,360",6.50,"489,457",-0.76,"3,106,504",16.82,"324,641",9.53,"836,089",14.42,"1,945,774",19.22,"10,925,589",4.49,"7,938,424",1.44,"424,642",43.98,"2,296,347",4.58,"63,132",67.56,"203,044",99.18,-,-,"1,650,187",8.54,"3,595,961",14.07,"14,521,550",6.71
1997M10,"511,083",1.69,"3,013,794",13.58,"265,712",2.40,"792,521",10.30,"1,955,561",16.72,"11,030,730",4.97,"8,005,577",1.85,"479,755",60.65,"2,282,117",3.48,"60,965",54.14,"202,316",93.52,-,-,"1,569,316",5.99,"3,524,877",11.69,"14,555,607",6.52,"499,045",3.69,"3,074,156",14.51,"306,842",-1.12,"800,020",12.58,"1,967,294",18.26,"11,128,593",5.59,"8,082,355",2.49,"505,669",72.06,"2,279,619",3.13,"58,933",41.30,"202,017",88.54,-,-,"1,605,907",6.90,"3,573,201",12.87,"14,701,794",7.27
1997M11,"512,069",2.73,"3,094,723",15.02,"268,711",3.39,"822,722",13.18,"2,003,290",17.58,"11,140,147",5.53,"8,074,506",2.49,"533,842",71.14,"2,263,313",2.10,"49,240",13.01,"219,246",108.58,-,-,"1,603,502",7.96,"3,606,792",13.10,"14,746,939",7.29,"502,081",4.70,"3,122,401",14.23,"304,454",14.92,"833,864",10.68,"1,984,083",15.69,"11,201,139",6.06,"8,109,941",3.09,"552,955",70.83,"2,262,222",1.80,"39,547",-12.95,"236,474",129.42,-,-,"1,640,399",9.51,"3,624,482",12.81,"14,825,621",7.63
1997M12,"512,804",2.87,"3,147,027",12.89,"268,798",1.12,"862,065",13.37,"2,016,164",14.46,"11,296,927",6.99,"8,216,917",4.62,"566,233",76.02,"2,244,967",0.57,"38,699",-11.94,"230,111",116.31,-,-,"1,643,667",7.80,"3,659,831",11.37,"14,956,758",8.03,"510,364",2.38,"3,204,888",9.47,"308,031",-2.01,"892,481",8.76,"2,004,376",11.81,"11,379,107",7.88,"8,311,358",5.77,"569,905",83.93,"2,235,777",0.36,"37,921",-10.69,"224,146",104.35,-,-,"1,710,876",4.74,"3,715,252",8.44,"15,094,359",8.02
1998M01,"620,667",19.57,"3,196,061",10.08,"299,845",5.51,"844,666",8.24,"2,051,550",11.56,"11,496,026",8.68,"8,325,281",6.47,"598,834",84.37,"2,285,762",0.39,"37,218",-17.58,"248,931",123.65,-,-,"1,765,178",11.46,"3,816,728",11.52,"15,312,754",9.37,"814,923",46.01,"3,118,213",3.79,"311,177",0.36,"758,732",-4.93,"2,048,304",8.02,"11,578,024",9.57,"8,363,377",7.28,"610,890",86.92,"2,291,594",0.92,"36,576",-19.09,"275,587",115.98,-,-,"1,884,832",13.12,"3,933,136",10.41,"15,511,160",9.78
1998M02,"628,796",-5.58,"3,219,559",9.20,"264,438",-2.98,"810,119",8.18,"2,145,002",11.32,"11,638,212",9.20,"8,401,127",7.27,"628,163",85.81,"2,296,467",-0.86,"41,564",-10.32,"270,891",116.34,-,-,"1,703,353",0.95,"3,848,355",6.48,"15,486,567",8.51,"565,239",2.02,"3,245,809",8.03,"304,085",6.75,"806,023",2.98,"2,135,701",10.25,"11,687,794",9.35,"8,471,610",7.83,"614,883",83.07,"2,288,016",-1.62,"47,319",-0.93,"265,966",117.19,-,-,"1,675,347",3.31,"3,811,048",7.09,"15,498,842",8.79
1998M03,"552,840",0.89,"3,204,132",5.61,"265,516",-0.54,"814,142",3.02,"2,124,474",7.48,"11,682,385",9.22,"8,492,107",8.08,"623,054",82.43,"2,256,238",-2.59,"47,594",-5.32,"263,392",101.65,-,-,"1,632,498",1.70,"3,756,972",4.89,"15,439,357",8.13,"520,670",0.26,"3,204,802",5.26,"286,939",-0.50,"837,309",3.71,"2,080,554",6.75,"11,723,752",9.58,"8,542,244",8.68,"621,639",86.14,"2,251,041",-2.73,"47,850",-9.25,"260,978",88.74,-,-,"1,644,918",1.85,"3,725,472",4.53,"15,449,224",8.32
1998M04,"538,045",1.05,"3,143,367",3.29,"260,163",-0.45,"795,621",0.69,"2,087,583",4.82,"11,760,782",10.18,"8,589,067",9.60,"626,752",87.08,"2,230,067",-3.02,"47,233",-13.92,"267,663",81.51,-,-,"1,593,829",0.62,"3,681,412",2.96,"15,442,194",8.37,"512,555",1.46,"3,092,970",1.80,"276,990",-2.02,"798,414",0.18,"2,017,566",3.01,"11,814,087",10.72,"8,645,479",10.40,"617,582",88.53,"2,230,060",-2.97,"46,616",-18.38,"274,350",75.13,-,-,"1,587,959",0.20,"3,605,525",1.75,"15,419,612",8.48
1998M05,"530,483",2.36,"3,088,716",2.01,"263,877",0.02,"794,584",-0.22,"2,030,255",3.19,"11,792,486",10.35,"8,651,599",10.24,"628,086",87.57,"2,209,703",-3.56,"46,617",-10.88,"256,481",60.87,-,-,"1,588,944",0.67,"3,619,199",2.06,"15,411,685",8.29,"518,080",3.45,"3,128,653",3.49,"304,851",12.24,"810,583",-0.54,"2,013,219",3.95,"11,777,784",9.83,"8,660,253",9.94,"620,960",80.93,"2,208,025",-3.70,"48,816",2.12,"239,730",47.95,-,-,"1,633,514",2.90,"3,646,733",3.48,"15,424,517",8.26
1998M06,"528,982",1.09,"3,107,746",0.78,"261,104",-3.11,"821,269",0.21,"2,025,373",1.53,"11,810,228",10.09,"8,665,338",10.13,"653,543",86.50,"2,198,693",-4.16,"48,246",-1.00,"244,408",47.40,-,-,"1,611,355",-0.06,"3,636,728",0.82,"15,446,956",7.76,"509,574",0.23,"3,247,574",1.20,"324,267",-0.10,"896,417",2.89,"2,026,890",0.69,"11,832,764",10.55,"8,680,058",10.68,"663,909",89.71,"2,192,035",-4.35,"47,676",-4.00,"249,086",46.70,-,-,"1,730,258",1.52,"3,757,148",1.07,"15,589,912",8.11
1998M07,"522,149",0.50,"3,157,393",-1.23,"268,111",-2.62,"840,534",-2.26,"2,048,748",-0.61,"11,938,920",11.04,"8,731,222",11.60,"683,366",85.47,"2,229,021",-4.06,"43,415",-20.81,"251,896",38.60,-,-,"1,630,794",-1.46,"3,679,542",-0.98,"15,618,462",7.95,"497,401",1.22,"3,151,537",-2.18,"290,455",-0.90,"844,757",-4.27,"2,016,325",-1.47,"11,999,830",11.47,"8,789,060",12.38,"687,881",87.34,"2,231,283",-4.01,"39,421",-33.93,"252,185",30.70,-,-,"1,632,613",-2.06,"3,648,938",-1.73,"15,648,768",8.08
1998M08,"517,066",0.63,"3,081,831",-3.17,"253,117",-6.90,"813,856",-6.43,"2,014,858",-1.28,"12,081,305",12.26,"8,856,162",13.04,"705,566",82.36,"2,219,440",-3.50,"38,693",-26.43,"261,444",39.22,-,-,"1,584,039",-4.32,"3,598,897",-2.64,"15,680,202",8.45,"490,164",-0.59,"3,089,053",-4.53,"272,889",-16.14,"833,063",-7.74,"1,983,101",-1.20,"12,159,306",12.67,"8,926,784",13.64,"706,332",76.93,"2,218,054",-3.54,"38,011",-31.31,"270,125",47.65,-,-,"1,596,116",-7.28,"3,579,217",-4.01,"15,738,523",8.39
